Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
49:25.0,00:00.0,74,6,0,0,0,985981,302998,29381,151811,66498,58375,6223,1604,,
49:26.0,00:00.0,74,6,0,0,0,1195846,176400,81142,60283,57887,46030,33471,58156,,
49:27.0,00:00.0,74,6,0,0,0,1113231,288259,17374,68531,128371,107058,24657,11054,,
49:28.0,00:00.0,74,6,0,0,0,334165,107685,91547,59444,162982,106897,49152,10166,,
49:29.0,00:00.0,87,6,0,0,0,486749,6182,7701,6765,4652,1043,404,126,,
49:30.0,00:00.0,100,6,0,0,0,138621,31577,3053,16322,7163,4061,1435,2297,,
49:31.0,00:00.0,100,6,0,0,0,744047,136133,15719,5428,8265,15487,2380,601,,
49:32.0,00:00.0,100,6,47,16,31,2458473,61096,4738,17553,8714,24586,5053,1986,,
49:33.0,00:00.0,100,6,48,47,47,45949,37538,152198,62620,31724,22159,3412,3302,,
49:34.0,00:00.0,100,6,43,51,47,645682,53051,32765,17221,38924,14794,6873,2927,,
49:35.0,00:00.0,100,6,43,48,45,398987,55662,2678,2060,13649,5710,1896,1476,,
49:36.0,00:00.0,100,6,21,50,35,1472908,50707,10330,14633,15965,6372,5567,807,,
49:37.0,00:00.0,100,6,26,37,31,2098105,36775,26145,21261,15427,9349,5233,2431,,
49:38.0,00:00.0,100,6,21,34,27,942510,120335,13105,43638,20422,18547,5822,3880,,
49:39.0,00:00.0,100,6,37,48,42,1624835,63047,16592,12863,38457,21195,5325,3302,,
49:40.0,00:00.0,100,6,26,60,43,426955,83732,87326,9232,11559,7080,2133,2268,,
49:41.0,00:00.0,100,4,40,48,44,1441746,110474,5401,39134,30276,39232,2804,1796,,
49:42.0,00:00.0,87,2,40,48,44,1072232,15570,7665,5362,2325,2290,675,337,,
49:43.0,00:00.0,100,2,34,43,38,67490,12262,2189,1081,692,1129,661,236,,
49:44.0,00:00.0,100,2,24,53,38,277925,53310,50928,13849,31739,15045,2970,799,,
49:45.0,00:00.0,100,2,37,54,45,621027,55934,64416,31507,22310,11423,5600,3038,,
49:46.0,00:00.0,100,2,30,61,45,275651,72894,25942,16810,6780,24299,8549,3148,,
49:47.0,00:00.0,100,2,44,67,55,520454,71654,30485,9003,11689,17292,4399,4236,,
49:48.0,00:00.0,100,2,35,64,49,91418,102124,23609,41357,10090,10467,7698,6450,,
49:49.0,00:00.0,100,3,30,40,35,1419549,61444,5163,3013,2123,4516,2467,642,,
49:50.0,00:00.0,100,3,23,38,30,53563,77433,33374,6479,22552,12495,2697,2036,,
49:51.0,00:00.0,100,2,17,40,28,2075763,177028,71643,41284,30659,35034,11723,4001,,
49:52.0,00:00.0,100,1,30,50,40,995462,44080,44268,65611,16912,21225,4351,1884,,
49:53.0,00:00.0,100,1,38,60,49,61265,68007,16294,9829,19513,8463,2264,5626,,
49:54.0,00:00.0,100,1,34,61,47,302864,135698,21688,56361,35352,16757,11476,4728,,
49:55.0,00:00.0,100,1,30,69,49,2269946,35816,44957,23079,21501,11567,12058,1348,,
49:56.0,00:00.0,100,1,21,53,37,744324,196653,25960,54330,31358,22085,7008,1866,,
49:57.0,00:00.0,100,2,27,53,40,607912,46942,8986,9083,7800,8460,1910,581,,
49:58.0,00:00.0,100,2,38,54,46,624913,36937,2875,26221,13805,12011,2234,2579,,
49:59.0,00:00.0,100,2,24,48,36,101051,27032,11187,10518,5466,2237,1255,242,,
50:00.0,00:00.0,100,2,16,48,32,667171,151604,22183,29741,13539,9178,3521,2989,,
50:01.0,00:00.0,100,2,1,47,24,2382976,336029,35556,47552,17121,13079,18550,5255,,
50:02.0,00:00.0,100,2,1,56,28,745949,57920,46865,53293,12274,11993,6477,2996,,
50:03.0,00:00.0,100,1,1,48,24,240773,355713,53727,62165,54538,16785,6282,6840,,
50:04.0,00:00.0,100,1,1,64,32,904497,104852,122920,82258,28245,27326,11635,3800,,
50:05.0,00:00.0,100,2,13,74,43,696375,35562,6008,14523,5459,5197,1991,987,,
50:06.0,00:00.0,100,2,1,56,28,928127,532732,127840,61635,87883,24503,4515,7122,,
50:07.0,00:00.0,100,2,20,66,43,839285,19572,5895,10457,3319,4827,1290,513,,
50:08.0,00:00.0,100,2,21,51,36,772577,24809,10764,3063,11721,3777,5578,584,,
50:09.0,00:00.0,100,2,20,41,30,2087415,264901,44096,17352,19157,28469,4389,2313,,
50:10.0,00:00.0,100,2,53,56,54,1313080,7769,14497,7190,6376,7735,2357,618,,
50:11.0,00:00.0,100,2,40,41,40,434970,77331,6973,8417,20036,5521,2521,697,,
50:12.0,00:00.0,100,2,23,40,31,610997,87514,10235,18544,9394,2664,2504,591,,
50:13.0,00:00.0,100,2,24,53,38,1890601,116701,50208,76728,55023,22093,6772,4002,,
50:14.0,00:00.0,100,4,10,35,22,321197,347199,28850,77552,84726,34611,15973,9117,,
50:15.0,00:00.0,100,4,1,40,20,1701050,34849,7720,2305,4561,870,574,188,,
50:16.0,00:00.0,100,1,27,41,34,692546,54930,14293,13652,16700,14274,1859,1447,,
50:17.0,00:00.0,87,3,27,41,34,1403963,11808,5197,6146,5316,2885,831,416,,
50:18.0,00:00.0,100,3,20,20,20,1377175,61845,3635,3554,4448,3492,690,541,,
50:19.0,00:00.0,100,2,7,23,15,830708,142160,27825,15115,10390,4754,2886,770,,
50:20.0,00:00.0,100,2,35,37,36,546258,16045,5574,30445,21440,9647,3967,3015,,
50:21.0,00:00.0,74,5,35,37,36,398957,25155,17172,17328,9541,8796,8399,13266,,
50:22.0,00:00.0,60,8,35,37,36,1048853,82079,31374,23700,15322,19861,19058,9021,,
50:23.0,00:00.0,73,8,35,37,36,0,0,0,0,0,2,0,0,,
50:24.0,00:00.0,73,8,35,37,36,13,1,1,0,0,0,0,0,,
50:25.0,00:00.0,73,8,35,37,36,66771,4487,312,600,2100,2794,2379,727,,
50:26.0,00:00.0,0,8,0,0,0,114723,90417,2775,3953,1460,3263,1785,2321,,
50:27.0,00:00.0,0,8,0,0,0,1871977,202664,139284,32113,9632,49213,18685,6140,,
50:28.0,00:00.0,0,8,0,0,0,1009891,84562,11251,28435,3115,17487,5527,3314,,
50:29.0,00:00.0,0,8,0,0,0,234979,89400,6911,4319,12720,17605,7075,6383,,
50:30.0,00:00.0,0,8,0,0,0,90080,9648,4563,3604,3943,3970,1557,465,,
50:31.0,00:00.0,0,8,0,0,0,701181,325675,187736,29719,97747,154103,36426,14242,,
50:32.0,00:00.0,0,8,0,0,0,805689,389337,115199,36498,47628,79909,30289,10355,,
50:33.0,00:00.0,74,8,0,0,0,491892,63455,26698,41789,38908,43971,60264,36237,,
50:34.0,00:00.0,87,8,0,0,0,471,770,765,740,644,539,266,145,,
50:35.0,00:00.0,74,8,0,0,0,611179,48934,72287,19921,59247,35114,5854,20883,,
50:36.0,00:00.0,87,8,0,0,0,106801,137628,22733,32512,28817,49477,3795,3211,,
50:37.0,00:00.0,74,8,0,0,0,558960,126638,29153,62762,182233,246831,179316,50623,,
50:38.0,00:00.0,74,8,0,0,0,878023,281088,80578,51912,8569,27178,3989,1341,,
50:39.0,00:00.0,87,8,0,0,0,587710,43649,8199,16145,14318,13723,2548,847,,
50:40.0,00:00.0,74,8,0,0,0,938137,2511,693,1711,1498,1219,84,107,,
50:41.0,00:00.0,87,8,0,0,0,212447,45439,22360,18314,18454,26962,14410,3372,,
50:42.0,00:00.0,74,8,0,0,0,1200294,340950,50367,38030,36728,53474,98075,49567,,
50:43.0,00:00.0,74,8,0,0,0,1517721,58293,48946,29555,14581,42864,26803,6309,,
50:44.0,00:00.0,74,8,0,0,0,343548,59233,58613,36096,8563,16304,13955,5507,,
50:45.0,00:00.0,60,8,0,0,0,650776,388083,267097,319959,143419,69772,70092,39978,,
50:46.0,00:00.0,74,8,0,0,0,249283,190333,9420,26482,61053,46375,29832,9484,,
50:47.0,00:00.0,74,8,0,0,0,1517676,565697,220982,106628,421349,242441,233610,173906,,
50:48.0,00:00.0,74,8,0,0,0,71708,22752,39,3840,3800,5487,7932,13946,,
50:49.0,00:00.0,74,8,0,0,0,1380057,122989,3518,3169,8273,11079,6261,4139,,
50:50.0,00:00.0,74,8,0,0,0,1509037,258472,140872,59484,145615,145493,84625,69594,,
50:51.0,00:00.0,74,8,0,0,0,672361,148142,21204,91337,98692,66087,60408,23492,,
50:52.0,00:00.0,74,8,0,0,0,1401138,64271,13097,14245,51822,38601,30972,9126,,
50:53.0,00:00.0,74,8,0,0,0,649053,204161,19303,24192,68331,52712,28158,7016,,
50:54.0,00:00.0,74,8,0,0,0,858548,37067,9914,9160,4806,2420,1101,416,,
50:55.0,00:00.0,74,8,0,0,0,1327052,142319,119072,226768,409437,109313,99002,125574,,
50:56.0,00:00.0,74,8,0,0,0,1474557,74086,51358,17529,47144,47937,29185,11855,,
50:57.0,00:00.0,74,8,0,0,0,95479,19140,7496,7399,2531,6943,2021,997,,
50:58.0,00:00.0,74,8,0,0,0,2412024,68336,9436,5847,10914,8885,2673,750,,
50:59.0,00:00.0,74,8,0,0,0,430677,457445,228848,321568,413175,254378,110977,105820,,
51:00.0,00:00.0,74,8,0,0,0,605544,176018,67741,115482,31782,23436,42853,33604,,
51:01.0,00:00.0,74,8,0,0,0,1473042,315416,359948,357814,304597,201708,134090,38801,,
51:02.0,00:00.0,74,8,0,0,0,617588,154032,125051,118737,136624,141390,36476,27413,,
51:03.0,00:00.0,87,8,0,0,0,1381510,1047979,262710,258689,71305,85679,28390,11788,,
51:04.0,00:00.0,87,8,0,0,0,137131,82664,18277,13932,4961,5395,372,219,,
51:05.0,00:00.0,74,8,0,0,0,892965,157034,26979,59777,68328,28065,13114,4133,,
51:06.0,00:00.0,74,8,0,0,0,1964333,73921,16623,12026,12109,5433,2002,989,,
51:07.0,00:00.0,74,8,0,0,0,2266746,58757,17133,18803,7732,10537,2792,1055,,
51:08.0,00:00.0,87,8,0,0,0,1089776,22386,17761,17683,5702,1832,909,360,,
51:09.0,00:00.0,74,8,0,0,0,1032589,32565,12128,5389,20662,11861,2114,1231,,
51:10.0,00:00.0,87,8,0,0,0,750863,31412,11228,4846,2857,2999,502,404,,
51:11.0,00:00.0,100,8,0,0,0,1042177,92087,18967,5620,7816,3828,1538,655,,
51:12.0,00:00.0,100,2,0,0,0,573026,35073,3369,2950,12639,7524,2282,303,,
51:13.0,00:00.0,100,1,0,0,0,367582,14183,2679,3662,1638,765,767,517,,
51:14.0,00:00.0,74,5,0,0,0,831727,11352,11813,12640,5436,2925,621,729,,
51:15.0,00:00.0,74,5,0,0,0,2215998,352102,36338,75794,61541,86395,46466,7897,,
51:16.0,00:00.0,87,5,0,0,0,531038,105233,17157,8266,5254,4080,1325,798,,
51:17.0,00:00.0,100,5,21,48,34,1056425,129854,52049,27429,28245,7936,2231,1547,,
51:18.0,00:00.0,100,5,27,57,42,318204,35099,3233,3792,3696,2478,4332,1322,,
51:19.0,00:00.0,100,5,54,83,68,75445,17969,28425,15108,13855,10994,2956,3416,,
51:20.0,00:00.0,100,3,50,83,66,906528,63729,11339,23609,9519,9494,2699,1587,,
51:21.0,00:00.0,100,2,60,94,77,1382201,6272,1719,11277,2426,1726,759,157,,
51:22.0,00:00.0,100,2,53,94,73,1598300,281240,37452,18486,7538,11366,4779,1407,,
51:23.0,00:00.0,100,2,34,70,52,1102107,175119,28397,10784,4631,6453,3025,1032,,
51:24.0,00:00.0,100,1,41,63,52,512745,69456,15896,13592,33691,18746,5758,1431,,
51:25.0,00:00.0,100,1,27,47,37,2126257,147306,36616,27731,37637,6416,3882,3972,,
51:26.0,00:00.0,100,4,40,70,55,927684,27668,14292,35104,15823,6387,7083,1868,,
51:27.0,00:00.0,100,3,40,77,58,728992,109048,31954,6981,4309,4203,1037,1109,,
51:28.0,00:00.0,74,2,40,77,58,801727,36135,5178,6096,10612,2568,856,240,,
51:29.0,00:00.0,87,2,40,77,58,262850,16051,9358,4339,4517,2073,440,150,,
51:30.0,00:00.0,100,2,29,94,61,831666,46301,35419,22475,7458,8785,2114,1382,,
51:31.0,00:00.0,100,2,43,100,71,967463,27339,19035,6958,7527,4964,1585,716,,
51:32.0,00:00.0,100,2,57,81,69,145086,17025,4269,1251,1115,6912,2222,1111,,
51:33.0,00:00.0,100,2,67,75,71,2595206,365718,14538,64125,27028,27746,9458,6735,,
51:34.0,00:00.0,87,1,67,75,71,2006225,151229,23682,13769,8401,7126,3389,894,,
51:35.0,00:00.0,100,1,66,51,58,1342169,226669,28250,22990,44453,23358,2507,1526,,
51:36.0,00:00.0,100,4,63,53,58,1978085,24547,22758,23688,35462,4392,826,456,,
51:37.0,00:00.0,74,5,63,53,58,349932,7184,2910,117,1234,1895,359,126,,
51:38.0,00:00.0,87,5,63,53,58,1152201,195648,23677,19290,20936,16777,3246,2840,,
51:39.0,00:00.0,100,5,38,43,40,328899,136563,4466,11451,5981,6027,3388,1495,,
51:40.0,00:00.0,87,3,38,43,40,619582,118891,18565,24457,12458,23705,2670,3111,,
51:41.0,00:00.0,87,2,38,43,40,1243477,96853,22614,22374,13354,11391,1917,1236,,
51:42.0,00:00.0,100,2,47,61,54,553106,59405,59932,3875,22671,16039,1704,868,,
51:43.0,00:00.0,74,5,47,61,54,617932,10884,8266,2744,3840,974,698,264,,
51:44.0,00:00.0,87,5,47,61,54,306743,7226,3330,1822,1053,3000,665,164,,
51:45.0,00:00.0,100,5,60,63,61,2087645,295216,44539,66529,115697,99286,13087,6327,,
51:46.0,00:00.0,100,3,63,61,62,906850,65967,51086,6075,15392,12117,5291,5010,,
51:47.0,00:00.0,100,2,70,88,79,1032474,102265,76962,26288,16032,13922,4149,1322,,
51:48.0,00:00.0,100,2,70,84,77,1331876,16138,6724,6134,4004,3776,715,505,,
51:49.0,00:00.0,100,2,63,90,76,1978700,105269,18562,43059,85768,20597,15715,7472,,
51:50.0,00:00.0,100,2,64,88,76,153356,22967,12233,4462,7629,3994,3036,1282,,
51:51.0,00:00.0,100,2,67,69,68,386274,146578,18604,20836,17272,16705,2677,1316,,
51:52.0,00:00.0,100,2,67,63,65,1140565,96230,5400,37742,11418,16472,2720,3487,,
51:53.0,00:00.0,100,2,64,60,62,134797,167887,22369,27864,10308,19448,2676,3110,,
51:54.0,00:00.0,100,2,75,60,67,1582614,7691,5019,5707,9528,4174,1158,547,,
51:55.0,00:00.0,100,2,54,51,52,1241731,60536,4142,3160,3616,1381,243,187,,
51:56.0,00:00.0,100,1,35,43,39,1924664,168825,22657,9881,8404,4899,995,721,,
51:57.0,00:00.0,100,2,34,29,31,368753,93394,3390,9687,14110,7553,1717,1149,,
51:58.0,00:00.0,87,2,34,29,31,62041,12229,1150,1314,492,290,170,92,,
51:59.0,00:00.0,74,2,34,29,31,1113380,17198,7765,1866,5740,4789,717,372,,
52:00.0,00:00.0,87,2,34,29,31,905402,4966,7768,1918,2670,5081,161,183,,
52:01.0,00:00.0,87,2,34,29,31,251691,17751,3678,812,713,990,490,265,,
52:02.0,00:00.0,100,2,30,23,26,741599,57205,28642,19489,53116,22181,20162,5212,,
52:03.0,00:00.0,74,3,30,23,26,498160,16206,2740,3007,1492,1128,563,177,,
52:04.0,00:00.0,87,3,30,23,26,1682658,208352,33083,63572,73586,41746,4861,6787,,
52:05.0,00:00.0,74,3,30,23,26,139103,4011,1834,1758,2115,1226,348,141,,
52:06.0,00:00.0,74,3,30,23,26,851837,91065,205788,53989,16838,94561,69510,61349,,
52:07.0,00:00.0,74,3,30,23,26,522816,155218,18438,24819,48817,56385,31946,16466,,
52:08.0,00:00.0,87,3,30,23,26,2063065,72200,24995,14931,9778,3661,1533,1220,,
52:09.0,00:00.0,74,3,30,23,26,824252,68053,42238,73590,42700,55586,9396,2423,,
52:10.0,00:00.0,74,3,30,23,26,645070,228918,207036,140827,43678,6968,10379,13863,,
52:11.0,00:00.0,74,3,30,23,26,693286,86119,53672,116074,66421,70643,29788,24409,,
52:12.0,00:00.0,74,3,30,23,26,1081139,206795,36071,27119,37741,30451,14244,3981,,
52:13.0,00:00.0,74,3,30,23,26,930431,1814587,160175,292775,147238,161207,117616,70787,,
52:14.0,00:00.0,74,3,30,23,26,1376748,630799,139251,206715,130036,127422,47184,50078,,
52:15.0,00:00.0,74,3,0,0,0,287931,30300,8062,15819,10491,10701,9950,3430,,
52:16.0,00:00.0,87,3,0,0,0,711740,100697,25596,39314,35123,29744,8185,1521,,
52:17.0,00:00.0,74,3,0,0,0,312465,2528448,87961,64406,1040865,432236,536897,363091,,
52:18.0,00:00.0,74,3,0,0,0,1131335,125740,17666,23709,50791,35016,22130,18361,,
52:19.0,00:00.0,100,3,0,0,0,62119,2744,713,2252,645,1062,422,199,,
52:20.0,00:00.0,100,3,0,0,0,108696,14314,6137,1509,3174,4058,1108,593,,
52:21.0,00:00.0,100,3,0,0,0,47471,19439,5028,9633,16958,12146,6443,3713,,
52:22.0,00:00.0,100,2,38,48,43,256327,147268,125139,36208,23353,25191,8404,2830,,
52:23.0,00:00.0,100,2,50,38,44,644538,133984,40637,9423,19859,27390,6821,4285,,
52:24.0,00:00.0,100,2,40,29,34,223503,166573,7542,26114,16423,16584,6210,4034,,
52:25.0,00:00.0,100,2,29,21,25,768683,40899,1914,23942,7693,14213,7352,11413,,
52:26.0,00:00.0,100,2,44,1,22,67375,7735,2708,983,4136,2313,1172,509,,
52:27.0,00:00.0,100,2,48,27,37,32420,14974,26642,12416,16912,10429,4685,2140,,
52:28.0,00:00.0,100,2,44,43,43,67996,132407,18996,37769,7425,12728,3585,1801,,
52:29.0,00:00.0,100,2,48,48,48,1364975,28998,28073,19604,48802,18817,1302,1141,,
52:30.0,00:00.0,100,2,23,41,32,3093937,139668,19115,9712,6489,5368,3239,1033,,
52:31.0,00:00.0,100,2,17,21,19,256575,20217,4642,5479,2696,3257,1823,255,,
52:32.0,00:00.0,100,2,30,7,18,30039,24161,1807,4767,5110,4641,2586,1043,,
52:33.0,00:00.0,100,2,24,3,13,32221,60762,16000,23585,15920,14298,13253,4095,,
52:34.0,00:00.0,100,2,53,20,36,277394,60881,28766,11974,10408,23242,17701,3955,,
52:35.0,00:00.0,100,2,48,35,41,91664,36556,28929,14104,12249,6075,3828,2722,,
52:36.0,00:00.0,100,2,53,77,65,8900,7581,33557,8960,16484,11243,6033,2084,,
52:37.0,00:00.0,100,2,41,77,59,47574,138992,58442,13368,15973,12846,12077,7680,,
52:38.0,00:00.0,100,2,35,63,49,1038569,127645,31004,5122,6342,21769,9337,5006,,
52:39.0,00:00.0,100,2,30,48,39,1184277,258331,26959,82595,14769,21005,14244,6683,,
52:40.0,00:00.0,100,2,4,7,5,146314,275024,16120,20869,37254,9092,8182,9046,,
52:41.0,00:00.0,100,2,1,11,6,718133,161724,63525,25480,11806,10654,8496,3831,,
52:42.0,00:00.0,100,2,1,48,24,589238,56832,43720,58449,8336,14333,9964,1802,,
52:43.0,00:00.0,100,2,1,63,32,1635359,347421,256147,24109,40635,17284,5222,3374,,
52:44.0,00:00.0,100,2,16,83,49,382438,18709,5722,6286,3536,8425,1907,1230,,
52:45.0,00:00.0,100,2,34,60,47,773326,301300,15093,5279,50727,45067,12019,1837,,
52:46.0,00:00.0,100,2,40,41,40,1440587,193117,39936,28000,17442,34155,3995,5793,,
52:47.0,00:00.0,100,2,48,27,37,55544,252515,27559,33192,8912,16243,2411,2840,,
52:48.0,00:00.0,100,2,34,37,35,902285,125036,58694,18508,11754,21996,7115,2849,,
52:49.0,00:00.0,100,2,13,51,32,228567,218717,5063,28029,12525,8254,9981,3408,,
52:50.0,00:00.0,100,2,13,51,32,9874,81508,5915,25154,15356,14117,7189,3483,,
52:51.0,00:00.0,100,2,35,54,44,406292,86259,23713,24680,52798,39130,10970,3398,,
52:52.0,00:00.0,100,2,27,53,40,440994,162728,45368,52734,30677,17161,3889,6955,,
52:53.0,00:00.0,100,2,48,64,56,778101,76817,14403,24565,6916,17693,4358,1768,,
52:54.0,00:00.0,100,2,27,67,47,854993,56177,18020,5142,2798,1633,3335,1114,,
52:55.0,00:00.0,100,2,23,80,51,349010,48186,12811,44313,19186,14435,11582,3061,,
52:56.0,00:00.0,100,2,41,87,64,280232,10412,15157,8276,12929,8683,1646,761,,
52:57.0,00:00.0,100,2,29,81,55,344219,199435,5924,53344,11628,13218,6653,3467,,
52:58.0,00:00.0,100,2,38,78,58,81141,164312,36407,18670,8055,9180,10082,2143,,
52:59.0,00:00.0,100,2,40,56,48,131448,23851,1708,4387,11941,5272,2156,636,,
53:00.0,00:00.0,100,2,35,53,44,237787,64984,43983,13133,23124,16514,5591,3881,,
53:01.0,00:00.0,100,2,30,53,41,1481960,118351,28100,5490,5653,5926,2147,866,,
53:02.0,00:00.0,100,2,40,51,45,1097136,199085,40458,21789,27987,22406,23058,10365,,
53:03.0,00:00.0,100,2,35,63,49,1240724,136914,46256,13168,20676,24456,13352,1048,,
53:04.0,00:00.0,100,2,26,67,46,903742,126789,106362,37656,18859,20022,9349,2218,,
53:05.0,00:00.0,100,2,29,57,43,111103,174865,9642,17488,28468,11069,5276,1400,,
53:06.0,00:00.0,100,2,24,67,45,232640,33216,5423,19055,757,3229,2566,1574,,
53:07.0,00:00.0,100,2,27,66,46,155164,34217,7710,3154,2915,7230,1276,467,,
53:08.0,00:00.0,100,2,53,57,55,134528,10395,15267,10170,23955,20914,8978,3451,,
53:09.0,00:00.0,100,2,60,88,74,131892,24738,71714,48053,18273,12571,11918,3150,,
53:10.0,00:00.0,100,2,64,74,69,360223,74642,7909,19015,32799,7679,9539,3225,,
53:11.0,00:00.0,100,2,53,69,61,128916,59430,8849,7965,2977,5063,1557,859,,
53:12.0,00:00.0,100,2,27,48,37,98561,35762,2749,973,3915,3031,676,413,,
53:13.0,00:00.0,100,2,40,29,34,340854,14427,9386,3881,8043,6533,5031,1175,,
53:14.0,00:00.0,100,2,53,41,47,84578,19772,15667,11085,10575,11508,4142,1198,,
53:15.0,00:00.0,100,2,53,38,45,28118,191760,23503,18756,14247,13940,2974,2780,,
53:16.0,00:00.0,100,2,60,48,54,138407,131207,16570,15913,9934,18794,10226,3620,,
53:17.0,00:00.0,100,2,57,57,57,668342,17365,30197,6423,4065,11968,10908,2263,,
53:18.0,00:00.0,100,2,51,60,55,69211,32635,23952,16007,8593,9582,9948,4044,,
53:19.0,00:00.0,100,2,67,70,68,10533,28209,11052,26828,25194,16015,4201,2454,,
53:20.0,00:00.0,100,2,66,83,74,519933,294426,109680,250746,144445,66427,16588,6090,,
53:21.0,00:00.0,100,2,77,70,73,119672,19359,5138,10063,8810,16840,15508,5516,,
53:22.0,00:00.0,100,2,67,74,70,878526,41370,14140,32422,8597,6089,10521,2851,,
53:23.0,00:00.0,100,2,47,66,56,218851,191599,51364,25808,45874,9720,9552,3491,,
53:24.0,00:00.0,100,2,57,69,63,92703,39526,42844,26992,12543,35409,11980,2474,,
53:25.0,00:00.0,100,2,57,66,61,12394,28146,7681,8857,24995,20507,14366,4878,,
53:26.0,00:00.0,100,2,77,50,63,15831,42419,5611,10342,20579,16440,10996,3604,,
53:27.0,00:00.0,100,2,100,43,71,14585,23485,3591,3075,5450,12610,3751,5193,,
53:28.0,00:00.0,100,2,88,47,67,39779,38506,29463,34820,11572,7375,4551,3122,,
53:29.0,00:00.0,100,2,64,53,58,481458,93405,22106,37279,10634,11946,7306,1114,,
53:30.0,00:00.0,100,2,64,47,55,405320,50951,1028,8774,24503,18212,3133,4085,,
53:31.0,00:00.0,100,2,61,50,55,144596,56091,12820,7025,14496,24125,7895,1970,,
53:32.0,00:00.0,100,1,69,38,53,1432004,31902,9217,11397,13321,7440,1646,984,,
53:33.0,00:00.0,100,1,87,29,58,357713,29094,6420,3344,4993,12369,2231,2124,,
53:34.0,00:00.0,100,1,80,47,63,548642,101604,40307,39589,27116,30465,2366,2429,,
53:35.0,00:00.0,100,1,60,30,45,411843,487391,6548,23110,13137,28275,14314,2843,,
53:36.0,00:00.0,100,1,51,34,42,32915,24341,2378,15683,8478,3395,1310,1109,,
53:37.0,00:00.0,100,2,37,54,45,1044030,9593,13350,10183,2800,3245,1067,573,,
53:38.0,00:00.0,74,7,37,54,45,1550704,415317,248429,179146,64581,29744,15162,7482,,
53:39.0,00:00.0,74,7,37,54,45,821546,21686,19650,5745,3742,2510,1560,523,,
53:40.0,00:00.0,74,7,37,54,45,693950,34924,7000,14949,10091,9603,3539,1003,,
53:41.0,00:00.0,87,7,37,54,45,578377,598022,226741,145716,109024,175084,28978,7087,,
53:42.0,00:00.0,87,7,37,54,45,2943319,203543,28128,29366,11520,8197,2702,1749,,
53:43.0,00:00.0,87,7,37,54,45,726281,40524,9659,2820,4611,3992,1802,811,,
53:44.0,00:00.0,74,7,37,54,45,1169235,105760,14236,1879,7576,4406,1841,1254,,
53:45.0,00:00.0,74,7,37,54,45,2730019,287455,156591,192814,253737,201578,116238,59192,,
53:46.0,00:00.0,74,7,37,54,45,579561,23865,6176,8172,2831,2852,1119,316,,
53:47.0,00:00.0,87,7,37,54,45,1414148,17364,17935,46707,66809,25884,4456,369,,
53:48.0,00:00.0,74,7,37,54,45,1630552,236202,75612,76799,22503,36822,15521,4301,,
53:49.0,00:00.0,74,7,37,54,45,2062833,57884,21475,21775,16320,19503,2706,76,,
53:50.0,00:00.0,74,7,37,54,45,642134,42689,16440,43726,24033,16611,9191,5582,,
53:51.0,00:00.0,74,7,37,54,45,840620,161043,38812,29695,19356,14908,4888,3117,,
53:52.0,00:00.0,87,7,37,54,45,2130248,214428,98610,102175,60918,38796,16053,3358,,
53:53.0,00:00.0,87,7,37,54,45,639433,25125,14314,6232,5923,2218,1169,328,,
53:54.0,00:00.0,100,7,16,37,26,1097177,68726,2345,5815,11210,2383,645,429,,
53:55.0,00:00.0,74,5,16,37,26,836976,61772,58247,62001,89143,75263,100309,117489,,
