Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
53:56.0,00:00.0,87,5,16,37,26,435022,139524,5843,3316,7539,6890,3243,203,,
53:57.0,00:00.0,74,5,16,37,26,275552,119654,19298,60941,35264,25638,6482,7258,,
53:58.0,00:00.0,74,5,16,37,26,875293,164915,16721,47861,51642,92043,31554,19317,,
53:59.0,00:00.0,74,5,16,37,26,782086,75453,23340,57514,39394,32623,24148,8470,,
54:00.0,00:00.0,87,5,16,37,26,498532,398732,107058,74219,28658,27024,10150,3609,,
54:01.0,00:00.0,74,5,16,37,26,807483,274435,85066,164531,536710,73882,219523,93027,,
54:02.0,00:00.0,74,5,16,37,26,312976,10819,2725,1320,1118,547,670,135,,
54:03.0,00:00.0,100,5,37,56,46,79548,10722,1888,4631,3965,5207,764,235,,
54:04.0,00:00.0,100,2,41,61,51,1911530,75532,47535,39079,13441,17441,3852,1587,,
54:05.0,00:00.0,74,5,41,61,51,1961316,288800,99611,74353,51322,42018,17355,42800,,
54:06.0,00:00.0,74,5,41,61,51,959039,112152,67390,100274,94115,158330,89047,28889,,
54:07.0,00:00.0,87,5,41,61,51,2204865,568600,331791,257238,127191,169708,109723,23985,,
54:08.0,00:00.0,74,5,41,61,51,693528,261435,150656,53562,85296,43603,11083,11779,,
54:09.0,00:00.0,74,5,41,61,51,268488,8445,3122,2853,3445,2251,1430,380,,
54:10.0,00:00.0,74,5,41,61,51,589894,173604,122808,75129,68468,121005,145269,66857,,
54:11.0,00:00.0,74,5,41,61,51,973875,699677,130141,39333,32084,77999,11231,6624,,
54:12.0,00:00.0,74,5,41,61,51,941790,1013460,29017,59472,132567,92059,42602,42889,,
54:13.0,00:00.0,74,5,41,61,51,1350521,194681,30201,34905,63866,31965,24578,11792,,
54:14.0,00:00.0,74,5,0,0,0,1662288,125764,43856,38043,30678,60632,28381,23646,,
54:15.0,00:00.0,74,5,0,0,0,1643911,316274,88116,129575,83532,372569,106694,220252,,
54:16.0,00:00.0,74,5,0,0,0,832989,138017,2330,4059,7095,47456,21905,11114,,
54:17.0,00:00.0,87,5,0,0,0,881642,168278,9970,17662,21745,6634,8780,1811,,
54:18.0,00:00.0,100,5,0,0,0,587798,35886,17597,10499,9871,13665,10652,1758,,
54:19.0,00:00.0,100,2,0,0,0,614074,34957,19201,27263,45241,7771,4844,1907,,
54:20.0,00:00.0,100,2,0,0,0,1663025,402532,125542,115507,153873,38373,12835,5941,,
54:21.0,00:00.0,100,2,56,61,58,2152096,146341,57559,113536,32558,102062,11748,15537,,
54:22.0,00:00.0,100,2,88,90,89,1620398,123621,63696,163432,105035,155887,19280,5218,,
54:23.0,00:00.0,74,3,88,90,89,626573,133879,99746,97360,30565,63839,13398,4969,,
54:24.0,00:00.0,87,3,88,90,89,293413,86626,68671,65007,54107,36104,8332,3158,,
54:25.0,00:00.0,100,3,81,69,75,891249,24157,8789,2374,5534,7218,936,429,,
54:26.0,00:00.0,74,5,81,69,75,445914,18981,11694,7955,3910,12520,1809,715,,
54:27.0,00:00.0,100,5,87,38,62,459370,67006,9847,9768,9636,17395,3952,487,,
54:28.0,00:00.0,87,5,87,38,62,384570,19146,18478,10797,5748,5364,1574,290,,
54:29.0,00:00.0,74,5,87,38,62,691263,115141,29558,4391,22455,20787,12031,1091,,
54:30.0,00:00.0,74,5,87,38,62,577144,171893,52055,4849,222960,46803,19481,6718,,
54:31.0,00:00.0,87,5,87,38,62,1771898,152268,45412,50003,14788,15809,3875,2025,,
54:32.0,00:00.0,100,5,70,1,35,719114,105778,12196,8335,5718,12303,2301,1336,,
54:33.0,00:00.0,100,2,64,1,32,243324,10653,5054,939,4838,5471,783,941,,
54:34.0,00:00.0,100,2,63,1,32,977962,104475,12575,24054,44668,26256,6519,1796,,
54:35.0,00:00.0,87,6,63,1,32,100554,125687,7032,7299,7268,24352,4972,2287,,
54:36.0,00:00.0,87,6,63,1,32,1922926,149772,5775,23267,36296,61315,18344,6097,,
54:37.0,00:00.0,87,6,63,1,32,1280823,174071,20271,165457,110117,80247,28914,1996,,
54:38.0,00:00.0,74,6,63,1,32,107465,154510,29127,14676,39589,33109,43551,26463,,
54:39.0,00:00.0,74,6,63,1,32,1764144,201825,86610,59034,78806,205190,117702,56622,,
54:40.0,00:00.0,74,6,63,1,32,1193754,234537,80394,95698,18955,32697,45141,23588,,
54:41.0,00:00.0,74,6,63,1,32,1940910,343674,805212,2171051,1800848,653860,162742,44792,,
54:42.0,00:00.0,74,6,63,1,32,2145767,173855,4194,16118,14051,17788,3877,1461,,
54:43.0,00:00.0,74,6,63,1,32,1636893,329159,53789,112897,31837,33387,17690,9184,,
54:44.0,00:00.0,74,6,0,0,0,2042493,53071,7239,13837,16838,23830,10147,3237,,
54:45.0,00:00.0,74,6,0,0,0,770157,158796,137200,21151,63208,183964,44332,207000,,
54:46.0,00:00.0,87,6,0,0,0,2837665,83778,39566,27009,25875,17911,7530,3044,,
54:47.0,00:00.0,74,6,0,0,0,513221,295086,42968,39878,101506,142405,98516,11872,,
54:48.0,00:00.0,74,6,0,0,0,2728527,449796,21364,67927,93942,59338,16767,21713,,
54:49.0,00:00.0,74,6,0,0,0,984488,682016,107912,261264,174250,141843,140210,11368,,
54:50.0,00:00.0,74,6,0,0,0,826296,222871,70381,108641,40965,128929,27151,15444,,
54:51.0,00:00.0,74,6,0,0,0,133231,72000,28494,33865,25475,54031,24012,29970,,
54:52.0,00:00.0,87,6,0,0,0,55118,30952,9629,9017,1508,1584,921,397,,
54:53.0,00:00.0,87,6,0,0,0,89121,7173,1881,1794,1719,3806,374,261,,
54:54.0,00:00.0,87,6,0,0,0,697775,190271,53980,31708,7655,6407,2105,6463,,
54:55.0,00:00.0,87,6,0,0,0,597173,20050,2637,1659,1151,2065,414,254,,
54:56.0,00:00.0,87,6,0,0,0,114610,2214,844,1361,2607,823,347,224,,
54:57.0,00:00.0,87,6,0,0,0,739,924,826,256,223,244,22,7,,
54:58.0,00:00.0,100,6,0,0,0,89551,8015,6149,2859,11104,8079,1955,1170,,
54:59.0,00:00.0,100,3,0,0,0,2352430,48144,12423,16233,11268,7753,1355,508,,
55:00.0,00:00.0,100,3,0,0,0,69902,17038,1566,14242,10290,6080,398,110,,
55:01.0,00:00.0,87,5,0,0,0,1806090,995394,938568,660787,709241,502405,354845,98589,,
55:02.0,00:00.0,87,5,0,0,0,473612,16951,3703,1473,1079,591,339,244,,
55:03.0,00:00.0,100,5,63,14,38,1942182,124934,27947,92357,80018,70489,6370,6749,,
55:04.0,00:00.0,100,5,74,56,65,74584,17489,8401,32286,21505,17343,4578,1937,,
55:05.0,00:00.0,100,2,41,41,41,282777,156444,16816,13480,39623,6428,4157,948,,
55:06.0,00:00.0,100,1,20,50,35,2071113,229954,26598,50096,21802,13682,2581,1321,,
55:07.0,00:00.0,100,2,14,64,39,1419293,317760,252929,263011,24756,144425,13443,8600,,
55:08.0,00:00.0,100,2,1,47,24,1358288,63163,27998,18874,43014,5115,2263,627,,
55:09.0,00:00.0,100,2,1,54,27,142371,85475,14501,7907,5253,2497,1726,590,,
55:10.0,00:00.0,100,2,3,50,26,377443,173961,12980,42740,34653,17403,5834,2184,,
55:11.0,00:00.0,100,2,10,47,28,1277802,37348,59151,44659,48256,32148,10199,3962,,
55:12.0,00:00.0,100,2,21,23,22,427444,210140,5971,29607,24866,22005,5959,1568,,
55:13.0,00:00.0,100,3,27,34,30,1792218,847607,241801,117954,41266,47634,13243,4522,,
55:14.0,00:00.0,74,3,27,34,30,1248332,27077,1953,6266,6643,4258,1508,133,,
55:15.0,00:00.0,100,3,29,57,43,587712,35240,9907,31783,6979,7147,4364,2466,,
55:16.0,00:00.0,100,2,16,43,29,961716,316108,81682,101589,85643,39680,18476,3246,,
55:17.0,00:00.0,100,2,1,43,22,717133,88850,1506,5789,2354,1660,511,420,,
55:18.0,00:00.0,100,2,10,66,38,809145,33371,64716,44472,34011,9270,3796,1686,,
55:19.0,00:00.0,74,7,10,66,38,722717,469082,10813,382748,400042,335245,108848,136908,,
55:20.0,00:00.0,74,7,10,66,38,1695627,276371,166816,34597,104055,142985,106468,32452,,
55:21.0,00:00.0,74,7,10,66,38,1120026,10554,3932,11274,26501,7481,2012,1016,,
55:22.0,00:00.0,100,7,13,53,33,2005504,235089,89277,23424,19244,33273,4907,2208,,
55:23.0,00:00.0,100,7,11,64,37,313117,74605,72006,6509,15063,10204,4534,3160,,
55:24.0,00:00.0,74,6,11,64,37,960201,36030,17257,8393,23784,15711,3298,736,,
55:25.0,00:00.0,100,6,17,84,50,2394775,181713,41659,22244,11539,6699,4237,1040,,
55:26.0,00:00.0,100,5,27,43,35,931810,406391,11780,27350,120577,86100,6986,5859,,
55:27.0,00:00.0,74,7,27,43,35,724083,11586,8528,10777,10327,5406,3665,1608,,
55:29.0,00:00.0,74,7,27,43,35,524519,41069,11572,3452,5968,3463,1421,493,,
55:29.0,00:00.0,87,7,27,43,35,516718,37638,11095,11473,6723,3685,964,535,,
55:30.0,00:00.0,74,7,27,43,35,322530,50278,10695,16015,11420,10047,2260,347,,
55:31.0,00:00.0,74,7,27,43,35,3249632,98696,34038,10569,56402,38958,5982,1978,,
55:32.0,00:00.0,74,7,27,43,35,1326613,27324,4267,6557,16159,9277,1185,1146,,
55:33.0,00:00.0,100,7,20,20,20,314639,278681,5101,10428,33722,12921,6216,3044,,
55:34.0,00:00.0,87,2,20,20,20,2701361,209684,140974,81755,95707,133378,98365,12182,,
55:35.0,00:00.0,100,2,30,14,22,1768803,51484,14620,28718,16870,16970,2807,1361,,
55:36.0,00:00.0,74,2,30,14,22,686579,18124,19077,6672,28734,16702,1723,993,,
55:37.0,00:00.0,87,2,30,14,22,961837,19264,23126,15118,58619,27341,1517,2982,,
55:38.0,00:00.0,100,2,41,20,30,1426334,19098,3856,7185,5786,2381,1079,311,,
55:39.0,00:00.0,74,3,41,20,30,1455957,36078,35895,63660,10322,11236,7293,504,,
55:40.0,00:00.0,74,3,41,20,30,475274,67848,39448,41168,55728,14866,3975,659,,
55:41.0,00:00.0,87,3,41,20,30,594679,21647,1656,1886,665,535,344,168,,
55:42.0,00:00.0,87,3,41,20,30,642828,22881,6835,16515,22160,25115,1688,1292,,
55:43.0,00:00.0,74,3,41,20,30,482911,336604,182833,121668,47297,8688,4201,3656,,
55:44.0,00:00.0,100,3,34,57,45,436009,14420,13797,9874,2765,3418,1937,517,,
55:45.0,00:00.0,100,3,41,69,55,1142574,129414,6897,18640,26236,14719,14684,1957,,
55:46.0,00:00.0,100,3,37,70,53,2726142,118615,36150,66941,51283,24322,7186,4353,,
55:47.0,00:00.0,100,3,34,78,56,1219609,75012,25277,34054,12474,9163,3248,1249,,
55:48.0,00:00.0,100,3,53,69,61,857575,27238,24721,99242,101019,92002,7077,2442,,
55:49.0,00:00.0,100,3,54,80,67,781547,102248,25970,21645,15912,17309,9009,4750,,
55:50.0,00:00.0,100,2,57,77,67,213251,5273,1873,1001,465,1098,159,89,,
55:51.0,00:00.0,100,2,47,67,57,62714,92206,23436,7855,9719,2930,1645,379,,
55:52.0,00:00.0,74,7,47,67,57,3261862,2196375,449847,397546,812601,657572,81914,51057,,
55:53.0,00:00.0,74,7,47,67,57,837399,839645,218928,50386,80775,119058,111153,168389,,
55:54.0,00:00.0,74,7,47,67,57,2636904,181802,31413,47779,8910,58135,54931,29616,,
55:55.0,00:00.0,74,7,47,67,57,838129,481530,141017,105691,17217,274336,331221,111287,,
55:56.0,00:00.0,74,7,47,67,57,938370,361795,75793,90050,65482,38942,14163,6877,,
55:57.0,00:00.0,74,7,47,67,57,515305,23450,6907,55308,38097,13350,7949,3031,,
55:58.0,00:00.0,74,7,0,0,0,688837,57902,14592,8920,22896,13948,1434,703,,
55:59.0,00:00.0,74,7,0,0,0,441484,51405,17713,15607,4151,17977,9629,6549,,
56:00.0,00:00.0,87,7,0,0,0,1878905,2034816,623781,654399,202439,398874,143073,38892,,
56:01.0,00:00.0,74,7,0,0,0,2498052,590097,46755,47513,43465,47038,3357,6369,,
56:02.0,00:00.0,74,7,0,0,0,860474,10001,35460,46104,19175,22589,15234,14146,,
56:03.0,00:00.0,87,7,0,0,0,377719,56751,7196,3651,2032,4648,1050,199,,
56:04.0,00:00.0,87,7,0,0,0,113893,15380,1627,2728,1834,1782,431,226,,
56:05.0,00:00.0,87,7,0,0,0,1275605,335533,202655,150590,52318,20145,8174,6403,,
56:06.0,00:00.0,87,7,0,0,0,872979,16246,5960,7440,6163,5255,949,713,,
56:07.0,00:00.0,87,7,0,0,0,757314,43944,19807,43780,29761,42439,6212,1311,,
56:08.0,00:00.0,87,7,0,0,0,1273640,317649,45990,85340,57350,51934,8975,9281,,
56:09.0,00:00.0,73,7,0,0,0,270676,12671,14995,13791,16114,27949,29878,28611,,
56:10.0,00:00.0,74,7,0,0,0,895298,161702,150539,62630,34510,41283,20188,4340,,
56:11.0,00:00.0,74,7,0,0,0,1000659,380394,26290,36383,90380,158043,128048,59164,,
56:12.0,00:00.0,87,7,0,0,0,1270170,63371,5651,3163,3906,6803,2032,868,,
56:13.0,00:00.0,87,7,0,0,0,141412,62067,24281,54597,86168,18841,3266,606,,
56:14.0,00:00.0,74,7,0,0,0,852808,172446,55125,64476,69133,47214,42535,21508,,
56:15.0,00:00.0,100,7,0,0,0,96761,104524,57462,26139,49801,48682,16887,4092,,
56:16.0,00:00.0,100,2,0,0,0,251512,22232,7621,1942,2040,3275,968,914,,
56:17.0,00:00.0,74,5,0,0,0,1753578,40051,25421,23052,18471,18288,7226,1676,,
56:18.0,00:00.0,74,5,0,0,0,2423180,165095,124712,294418,55049,309441,24685,7500,,
56:19.0,00:00.0,87,5,0,0,0,480116,57556,19880,4443,25411,5241,2283,784,,
56:20.0,00:00.0,74,5,0,0,0,815603,21642,33360,25509,28680,30077,21295,4603,,
56:21.0,00:00.0,87,5,0,0,0,1895162,788299,303670,104888,55170,21220,11404,21077,,
56:22.0,00:00.0,74,5,0,0,0,1280246,38166,12635,32177,11350,12584,986,1743,,
56:23.0,00:00.0,74,5,0,0,0,930900,114756,33498,20709,28063,21744,3687,930,,
56:24.0,00:00.0,74,5,0,0,0,1375386,35732,7978,7812,3302,5522,540,442,,
56:25.0,00:00.0,87,5,0,0,0,920125,107704,33490,63439,107487,117502,36181,2741,,
56:26.0,00:00.0,87,5,0,0,0,167618,4620,1148,1607,3190,3624,1036,683,,
56:27.0,00:00.0,100,5,0,0,0,1720708,144670,28632,22243,17910,38907,2782,1766,,
56:28.0,00:00.0,74,6,0,0,0,853673,80402,104996,55538,28635,114340,4177,1173,,
56:29.0,00:00.0,87,5,0,0,0,757188,122262,31740,52287,22427,21007,2541,2868,,
56:31.0,00:00.0,74,5,0,0,0,911199,129794,69996,9531,50888,117978,11336,3443,,
56:31.0,00:00.0,74,5,0,0,0,1547453,604438,255980,150547,143822,152142,89485,62621,,
56:32.0,00:00.0,87,5,0,0,0,410071,229510,53916,22061,52777,26554,10886,2828,,
56:33.0,00:00.0,74,5,0,0,0,296884,109700,35109,12544,11715,35578,1301,1559,,
56:34.0,00:00.0,74,5,0,0,0,749395,30656,14421,3955,13172,7348,1436,1123,,
56:35.0,00:00.0,74,5,0,0,0,743665,110135,8113,9804,54296,27909,12114,6310,,
56:36.0,00:00.0,74,5,0,0,0,323482,85779,39189,66981,14107,22212,5313,7019,,
56:37.0,00:00.0,74,5,0,0,0,597471,172735,48308,129093,88722,78024,72603,43176,,
56:38.0,00:00.0,74,5,0,0,0,1641551,748039,142176,88439,47481,101262,62656,24332,,
56:39.0,00:00.0,74,5,0,0,0,1406065,1232481,166253,110352,561656,460255,516319,231100,,
56:40.0,00:00.0,74,5,0,0,0,273705,22464,6184,6170,10181,16498,10281,2843,,
56:41.0,00:00.0,87,5,0,0,0,673808,85844,20699,32363,24447,22486,7300,769,,
56:42.0,00:00.0,87,5,0,0,0,309020,48660,19272,42942,11839,9075,1794,1035,,
56:43.0,00:00.0,74,5,0,0,0,1082070,101575,16136,14477,27297,24083,4209,1901,,
56:44.0,00:00.0,60,5,0,0,0,551860,173242,28012,87564,87335,48506,11827,33079,,
56:45.0,00:00.0,73,5,0,0,0,4,1,2,1,0,0,0,1,,
56:46.0,00:00.0,73,5,0,0,0,4,6,0,1,0,0,0,1,,
56:47.0,00:00.0,73,5,0,0,0,35371,2325,802,660,261,490,208,73,,
56:48.0,00:00.0,0,5,0,0,0,4486,904,679,1659,1188,1996,435,145,,
56:49.0,00:00.0,87,5,0,0,0,330139,33805,27731,24325,37731,50665,10950,1911,,
56:50.0,00:00.0,74,5,0,0,0,327044,885945,115836,305850,111090,34291,38856,54210,,
56:51.0,00:00.0,74,5,0,0,0,110071,57935,14576,47374,47442,59338,33407,21651,,
56:52.0,00:00.0,74,5,0,0,0,1684712,401714,81570,97912,88325,72420,58391,36475,,
56:53.0,00:00.0,74,5,0,0,0,420385,1020125,111718,34151,111330,74988,62058,12572,,
56:54.0,00:00.0,74,5,0,0,0,146699,74940,39022,40876,16983,38354,8492,9218,,
56:55.0,00:00.0,74,5,0,0,0,1298303,826434,705127,634770,631548,561056,68749,21726,,
56:56.0,00:00.0,74,5,0,0,0,2944360,600744,44943,51173,51717,78039,42693,58518,,
56:57.0,00:00.0,74,5,0,0,0,315219,86804,58969,77989,124660,22832,13139,5853,,
56:58.0,00:00.0,87,5,0,0,0,194020,43382,12481,24647,24459,23739,6947,5426,,
56:59.0,00:00.0,74,5,0,0,0,1085108,388280,24342,105893,94177,116228,5117,4396,,
57:00.0,00:00.0,74,5,0,0,0,611999,103315,29306,54442,124123,78744,8383,24481,,
57:01.0,00:00.0,74,5,0,0,0,590334,120419,17053,31945,25477,42049,19160,17235,,
57:02.0,00:00.0,87,5,0,0,0,357302,18006,8081,7685,13660,12576,3474,933,,
57:03.0,00:00.0,87,5,0,0,0,1337120,74426,295808,147851,115968,166900,11745,3587,,
57:04.0,00:00.0,100,5,0,0,0,1402765,256717,56165,23180,63495,39970,9660,2496,,
57:05.0,00:00.0,87,2,0,0,0,934260,566725,39646,52534,68891,43240,9313,5910,,
57:06.0,00:00.0,87,3,0,0,0,916126,24681,10689,7858,6876,5055,812,248,,
57:07.0,00:00.0,74,3,0,0,0,278928,12814,648,5275,3532,3437,1536,1817,,
57:08.0,00:00.0,100,3,0,0,0,537073,50652,37102,15175,46109,30742,5357,744,,
57:09.0,00:00.0,100,2,0,0,0,925502,71673,65288,767,24077,21016,7542,1693,,
57:10.0,00:00.0,87,2,0,0,0,1586203,42274,49124,97626,76913,56746,37391,11262,,
57:11.0,00:00.0,100,3,20,48,34,537904,352524,22955,35945,14557,35179,4169,2125,,
57:12.0,00:00.0,87,3,20,48,34,1148558,26365,28816,6773,16807,41543,6453,1593,,
57:13.0,00:00.0,74,3,20,48,34,267945,69244,36738,32752,72872,44690,12346,2736,,
57:14.0,00:00.0,87,3,20,48,34,1469513,227842,21577,17231,44334,26749,7225,3459,,
57:15.0,00:00.0,87,3,20,48,34,1488939,46212,11670,36149,12479,24336,12136,5881,,
57:16.0,00:00.0,87,3,20,48,34,53825,9788,3164,9867,15821,16035,3210,1301,,
57:17.0,00:00.0,74,3,20,48,34,2060791,244874,29542,59466,22829,31896,7371,1303,,
57:18.0,00:00.0,87,3,20,48,34,1018142,172421,60919,35903,58321,14546,7140,6461,,
57:19.0,00:00.0,87,3,20,48,34,858089,35517,9241,43630,52986,29066,5111,2824,,
57:20.0,00:00.0,87,3,20,48,34,852805,47963,23757,22735,35361,12633,1628,479,,
57:21.0,00:00.0,74,3,20,48,34,961062,57616,25388,36281,57451,53881,6109,2014,,
57:22.0,00:00.0,74,3,20,48,34,453675,704167,575336,86741,447003,243207,82917,29330,,
57:23.0,00:00.0,87,3,20,48,34,1356506,166729,72683,11292,59390,40456,13198,7205,,
57:24.0,00:00.0,74,3,20,48,34,1461237,92402,6321,58225,34317,40081,24194,22763,,
57:25.0,00:00.0,87,3,20,48,34,2123687,167973,570167,312413,623616,299917,133223,26812,,
57:26.0,00:00.0,74,3,20,48,34,819596,157974,60635,49131,31271,17974,6366,2967,,
57:27.0,00:00.0,87,3,20,48,34,940022,132814,7625,24203,19580,26409,13151,4206,,
57:28.0,00:00.0,74,3,20,48,34,2238032,246768,47237,10900,45528,20234,12962,5109,,
57:29.0,00:00.0,74,3,20,48,34,1210063,20726,6082,5565,1664,2291,986,668,,
57:30.0,00:00.0,74,3,20,48,34,775943,197679,50908,49679,71347,43706,12493,1467,,
57:31.0,00:00.0,87,3,20,48,34,1629612,401465,72636,68839,29831,63878,55285,8709,,
57:32.0,00:00.0,74,3,20,48,34,226615,130879,38834,29132,38837,52537,7256,6746,,
57:33.0,00:00.0,74,3,20,48,34,913293,123284,69449,36195,20725,51281,10753,5970,,
57:34.0,00:00.0,74,3,20,48,34,1308042,94855,11826,3451,3567,7813,1725,532,,
57:35.0,00:00.0,74,3,20,48,34,2726422,734405,186963,456451,464449,349050,106261,25164,,
57:36.0,00:00.0,87,3,20,48,34,1257806,125774,39745,51051,45632,73798,13919,3707,,
57:37.0,00:00.0,100,3,8,66,37,865146,34538,4998,56466,8151,7047,1848,1110,,
57:38.0,00:00.0,100,3,17,53,35,740093,341828,36972,54538,84473,131788,43329,5915,,
57:39.0,00:00.0,74,5,17,53,35,1472070,100497,57161,24578,14940,37026,13030,1960,,
57:40.0,00:00.0,87,5,17,53,35,1628254,326485,12345,14312,13335,10760,8816,3637,,
57:41.0,00:00.0,87,5,17,53,35,582834,513227,115772,68544,146432,111290,11027,3096,,
57:42.0,00:00.0,100,5,17,37,27,2000743,2208327,84992,190733,171029,142062,16559,38685,,
57:43.0,00:00.0,100,2,24,37,30,647511,256801,29423,21070,16016,36922,3806,2508,,
57:44.0,00:00.0,100,2,47,35,41,1900094,35213,17556,53142,6248,27397,5943,1320,,
57:45.0,00:00.0,74,5,47,35,41,904305,51091,5774,14642,19651,19737,6737,926,,
57:46.0,00:00.0,74,5,47,35,41,1117650,117664,81591,15192,30185,60579,14215,6216,,
57:47.0,00:00.0,74,5,47,35,41,609215,82685,27497,84953,68654,34801,16935,4076,,
57:48.0,00:00.0,74,5,47,35,41,888397,125161,83119,115536,94099,97899,30951,22632,,
57:49.0,00:00.0,74,5,47,35,41,1256538,82747,36149,17889,4897,21152,8510,4164,,
57:50.0,00:00.0,74,5,47,35,41,1862555,719780,106845,35715,49267,100526,51859,21020,,
57:51.0,00:00.0,74,5,0,0,0,1700370,209775,126336,58652,121121,97543,52049,10066,,
57:52.0,00:00.0,74,5,0,0,0,1770801,258297,158728,80717,112691,166320,51709,27760,,
57:53.0,00:00.0,74,5,0,0,0,1631545,26154,10283,7249,3695,1694,1321,544,,
57:54.0,00:00.0,74,5,0,0,0,1665616,735060,29254,277551,336369,285905,40662,147769,,
57:55.0,00:00.0,74,5,0,0,0,1501483,779496,585982,179785,256016,165943,165405,45105,,
57:56.0,00:00.0,74,5,0,0,0,259551,31928,47864,38821,30898,18546,7014,12687,,
57:57.0,00:00.0,74,5,0,0,0,837581,45878,52437,28591,4182,23936,42358,3543,,
57:58.0,00:00.0,74,5,0,0,0,1426344,92647,60297,44870,200870,52156,19302,12494,,
57:59.0,00:00.0,100,2,0,0,0,1076964,149863,1138,19190,17672,3552,3897,1734,,
58:00.0,00:00.0,74,3,0,0,0,1768628,180409,123878,113898,221279,148272,127719,18141,,
58:01.0,00:00.0,74,4,0,0,0,132245,43664,21794,14786,5599,23627,6841,5988,,
58:02.0,00:00.0,74,4,0,0,0,1101091,126843,112312,232937,32588,329983,94212,116910,,
58:03.0,00:00.0,73,4,0,0,0,66312,27411,9545,6483,3971,2006,745,386,,
58:04.0,00:00.0,74,4,0,0,0,1153244,1048368,47847,119018,284127,356202,340816,203769,,
58:05.0,00:00.0,74,4,0,0,0,540961,126012,41088,12936,54596,137214,52574,34557,,
58:06.0,00:00.0,73,4,0,0,0,7,2,0,1,1,1,2,1,,
58:07.0,00:00.0,74,4,0,0,0,869504,467324,106759,85768,112789,126160,87362,60499,,
58:08.0,00:00.0,74,4,0,0,0,268372,9880,22265,19658,7327,15307,7583,9910,,
58:09.0,00:00.0,74,4,0,0,0,763493,770334,234179,371150,90927,252862,302496,177273,,
58:10.0,00:00.0,74,4,0,0,0,577363,166365,84617,230947,105881,39536,7848,16647,,
58:11.0,00:00.0,74,4,0,0,0,1349864,1385151,232757,440912,338604,590563,116941,62205,,
58:12.0,00:00.0,74,4,0,0,0,1873952,411861,21972,24677,51409,56877,12458,6813,,
58:13.0,00:00.0,74,4,0,0,0,1042437,517750,79655,130123,287471,56154,53731,6809,,
58:14.0,00:00.0,74,4,0,0,0,1727570,38802,57812,128511,155402,36551,14828,12988,,
58:15.0,00:00.0,74,4,0,0,0,3430450,386838,102061,84203,49988,59900,39917,24045,,
58:16.0,00:00.0,100,4,0,0,0,683512,702308,61422,113756,103981,207633,14912,8426,,
58:17.0,00:00.0,74,2,0,0,0,875575,26283,7344,11245,13674,14937,967,393,,
58:18.0,00:00.0,100,2,0,0,0,349358,13756,14654,6959,18280,8919,841,553,,
58:19.0,00:00.0,100,2,0,0,0,642680,36858,7916,6947,28979,18044,1647,505,,
58:20.0,00:00.0,87,3,0,0,0,539361,70704,51125,10503,10469,12225,2256,2222,,
58:21.0,00:00.0,87,3,0,0,0,450220,30680,7327,8198,61563,19534,4891,1857,,
58:22.0,00:00.0,74,3,0,0,0,1122681,24577,8509,25472,33446,28856,10875,8311,,
58:23.0,00:00.0,87,3,0,0,0,208394,10180,4319,4064,4656,3245,627,183,,
58:24.0,00:00.0,74,3,0,0,0,84094,117139,7729,9971,18497,10454,975,620,,
58:25.0,00:00.0,74,3,0,0,0,172566,29943,1998,1193,6194,2437,374,312,,
