'Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,
59:47.0,00:00.0,100,2,94,43,68,5428,82466,23149,15547,10893,26722,19955,8253,,
59:48.0,00:00.0,100,2,100,35,67,157319,17943,1262,3764,10767,7465,3075,1540,,13553.22167
59:49.0,00:00.0,100,2,91,14,52,400480,60544,5176,7172,10070,18576,18853,6156,,27149.19212
59:50.0,00:00.0,100,2,78,7,42,41308,51836,3249,9794,16266,17801,6576,5169,,13078.00985
59:51.0,00:00.0,100,2,80,20,50,123912,8080,9812,3705,3195,5859,1884,1595,,6480.953202
59:52.0,00:00.0,100,2,74,13,43,387400,113420,7064,4840,16252,24273,21372,5774,,
59:53.0,00:00.0,100,2,78,11,44,660802,64097,3361,9172,13781,36151,15983,6774,,
59:54.0,00:00.0,100,2,77,30,53,86841,17073,9736,9893,8998,8128,2784,1261,,
59:55.0,00:00.0,100,2,81,29,55,643241,18332,25596,20753,22700,25712,19758,11701,,
59:56.0,00:00.0,100,2,97,51,74,8131,15532,10202,6741,10537,23694,18856,5782,,
59:57.0,00:00.0,100,2,90,78,84,91690,7010,4433,4065,2131,3849,1665,837,,
59:58.0,00:00.0,100,2,100,56,78,14784,16188,201,6407,6003,30822,14306,6838,,
59:59.0,00:00.0,100,2,100,41,70,10791,20620,9416,1697,8830,22143,6064,9704,,
00:00.0,00:00.0,100,2,97,47,72,19249,32708,6624,35202,17274,37366,7811,7265,,
00:01.0,00:00.0,100,2,100,27,63,2991,6657,3071,4271,8345,18318,9872,4668,,
00:02.0,00:00.0,100,2,97,47,72,28062,44189,12644,28830,16014,32982,7707,9290,,
00:03.0,00:00.0,100,2,100,60,80,35421,5944,19785,14603,25816,35156,9445,8254,,
00:04.0,00:00.0,100,2,100,51,75,26248,9924,10774,3942,5760,35006,15820,9647,,
00:05.0,00:00.0,100,2,90,64,77,632965,76393,25766,32693,18278,19492,12828,6354,,
00:06.0,00:00.0,100,2,69,47,58,751717,74636,7765,2195,4434,5411,2071,1217,,
00:07.0,00:00.0,100,2,66,40,53,98138,16397,7547,6052,9868,17293,1801,2255,,
00:08.0,00:00.0,100,2,57,43,50,14361,19583,22409,5757,16733,30570,10257,14287,,
00:09.0,00:00.0,100,2,70,34,52,24066,26207,8788,8177,18831,20523,8085,3341,,
00:10.0,00:00.0,100,2,93,43,68,28605,23541,11300,4828,24759,20876,6673,8080,,
00:11.0,00:00.0,100,2,83,51,67,479349,49462,25190,36178,22940,24239,16756,5228,,
00:12.0,00:00.0,100,2,78,51,64,20454,31607,8164,19405,12885,23805,5394,1875,,
00:13.0,00:00.0,100,2,78,50,64,5121,32500,8031,6982,10188,25722,6763,5036,,
00:14.0,00:00.0,100,2,69,41,55,18698,53567,4321,7719,11799,18109,10779,4265,,
00:15.0,00:00.0,100,2,78,34,56,16873,39727,8285,19608,11735,29829,10206,3039,,
00:16.0,00:00.0,100,2,84,23,53,28158,16397,2629,5443,12540,19110,12740,8189,,
00:17.0,00:00.0,100,2,87,35,61,14689,22455,19299,15664,8413,36351,12344,5390,,
00:18.0,00:00.0,100,2,93,64,78,6470,13503,59250,4275,6319,38534,5111,5021,,
00:19.0,00:00.0,100,2,100,48,74,839,7762,1043,5030,17164,24334,12250,5725,,
00:20.0,00:00.0,100,2,97,66,81,518709,20046,14504,28185,15805,28828,4443,6793,,
00:21.0,00:00.0,100,2,81,56,68,76864,56827,13258,4550,2753,9692,4156,1831,,
00:22.0,00:00.0,100,2,80,41,60,16860,12364,11308,6776,20441,14328,7223,4217,,
00:23.0,00:00.0,100,2,69,51,60,27245,42925,12856,9224,5925,44914,7701,2268,,
00:24.0,00:00.0,100,2,80,48,64,17991,4271,10143,11129,4896,31815,8206,3643,,
00:25.0,00:00.0,100,2,94,54,74,31379,25053,27024,1964,17697,27003,6539,5521,,
00:26.0,00:00.0,100,2,97,54,75,4574,19949,15703,4760,6506,27871,7419,5244,,
00:27.0,00:00.0,100,2,100,64,82,40762,16211,6250,34096,20291,43619,5292,2021,,
00:28.0,00:00.0,100,2,84,53,68,7333,64130,2336,17632,4303,22167,5755,3459,,
00:29.0,00:00.0,100,2,83,60,71,6755,10768,2780,27401,20058,16935,4921,5093,,
00:30.0,00:00.0,100,2,80,60,70,18812,31300,18191,4487,3890,28884,9415,3926,,
00:31.0,00:00.0,100,2,78,63,70,15822,7022,7644,14403,7650,16634,6441,3382,,
00:32.0,00:00.0,100,2,87,69,78,12158,14938,12378,3093,21526,16460,12692,12116,,
00:33.0,00:00.0,100,2,81,56,68,103349,52038,9229,17144,17387,22436,9846,3354,,
00:34.0,00:00.0,100,2,80,47,63,32522,62191,8272,10455,21340,36288,5582,3510,,
00:35.0,00:00.0,100,2,77,34,55,5501,37817,8049,9953,11691,22771,10212,11510,,
00:36.0,00:00.0,100,2,69,41,55,80480,22325,11136,25440,18867,17275,14932,3426,,
00:37.0,00:00.0,100,2,67,47,57,10377,44367,24139,3838,12608,15997,5682,5490,,
00:38.0,00:00.0,100,2,57,48,52,399686,81845,8593,12688,7754,18325,5984,15479,,
00:39.0,00:00.0,100,2,57,44,50,19083,61424,11960,9865,12351,35089,15418,7578,,
00:40.0,00:00.0,100,2,61,37,49,4928,11462,3809,8802,12747,10316,10478,5766,,
00:41.0,00:00.0,100,2,63,38,50,417757,43878,6966,28921,25066,18821,11083,5946,,
00:42.0,00:00.0,100,2,77,41,59,43955,33318,12968,9080,15107,35011,6522,3462,,
00:43.0,00:00.0,100,2,90,40,65,58018,11110,3665,7661,29853,31840,8329,7355,,
00:44.0,00:00.0,100,2,88,26,57,68300,37015,4269,6165,18659,19652,10136,12145,,
00:45.0,00:00.0,100,2,100,23,61,5737,15189,10066,14036,13384,43302,10315,7307,,
00:46.0,00:00.0,100,2,100,11,55,23219,9436,3717,3150,12300,36638,8522,5758,,
00:47.0,00:00.0,100,2,96,23,59,141415,6604,2239,4197,5288,4215,1413,2213,,
00:48.0,00:00.0,100,2,100,34,67,8171,22928,5406,10242,4104,35708,17553,6902,,
00:49.0,00:00.0,100,2,100,26,63,27374,14062,6204,3619,6695,27228,5603,3744,,
00:50.0,00:00.0,100,2,94,37,65,34400,41492,15141,10368,13540,54151,15526,1633,,
00:51.0,00:00.0,100,2,100,41,70,9606,5239,4962,11234,5942,19473,14825,1707,,
00:52.0,00:00.0,100,2,90,50,70,22277,34383,14278,13752,12723,13760,6669,10260,,
00:53.0,00:00.0,100,2,77,63,70,623875,51964,31650,14029,9743,27602,15160,3590,,
00:54.0,00:00.0,100,2,66,60,63,47280,17176,2881,2939,5235,6377,3056,1553,,
00:55.0,00:00.0,100,2,54,38,46,150738,62254,4312,5474,5480,22295,7792,7890,,
00:56.0,00:00.0,100,2,69,40,54,5938,5356,10908,8285,7377,24441,10329,5684,,
00:57.0,00:00.0,100,2,80,16,48,3019,9146,857,3710,20821,12035,9706,11140,,
00:58.0,00:00.0,100,2,100,17,58,1188,8547,14211,4713,18295,61433,4567,8181,,
00:59.0,00:00.0,100,2,100,37,68,6776,24600,13113,6000,6245,15729,15593,3350,,
01:00.0,00:00.0,100,2,100,26,63,11564,9023,4228,8271,18749,27741,6470,11818,,
01:01.0,00:00.0,100,2,97,41,69,32804,24599,10384,8626,20680,18706,9121,5300,,
01:02.0,00:00.0,100,2,87,48,67,12773,12427,6788,8309,10351,15031,9796,8906,,
01:03.0,00:00.0,100,2,87,50,68,8194,15979,6242,14682,16262,16851,14803,7893,,
01:04.0,00:00.0,100,2,77,61,69,2925,18251,15520,13730,12142,23821,17101,8204,,
01:05.0,00:00.0,100,2,81,61,71,5187,31092,21151,6236,10219,52747,12805,5311,,
01:06.0,00:00.0,100,2,81,70,75,22104,23744,29416,35112,12114,50841,9263,6876,,
01:07.0,00:00.0,100,2,84,75,79,7382,20139,34047,5022,9448,37563,5779,4966,,
01:08.0,00:00.0,100,2,88,66,77,8427,12926,19161,5094,27657,27504,15451,7436,,
01:09.0,00:00.0,100,2,67,78,72,419798,33559,19266,9442,6441,6670,9190,3032,,
01:10.0,00:00.0,100,2,63,57,60,28410,30539,2514,6552,5850,12690,18980,9566,,
01:11.0,00:00.0,100,2,51,51,51,71138,66597,16340,12418,8140,19461,14297,4493,,
01:12.0,00:00.0,100,2,47,38,42,25691,47768,8665,1974,9980,23396,4603,9363,,
01:13.0,00:00.0,100,2,61,14,37,17818,33183,3504,4637,15240,21821,29572,2887,,
01:14.0,00:00.0,100,2,67,14,40,1791,17700,4831,5018,16613,17690,6388,6414,,
01:15.0,00:00.0,100,2,78,14,46,10806,33726,23332,7318,10518,38747,6673,7030,,
01:16.0,00:00.0,100,2,90,20,55,28044,7899,3149,7615,18319,27306,16425,7365,,
01:17.0,00:00.0,100,2,87,50,68,28989,13688,36896,5415,15717,19033,3164,3433,,
01:18.0,00:00.0,100,2,93,50,71,56017,20849,6515,7972,13567,41166,10239,13040,,
01:19.0,00:00.0,100,2,96,48,72,10575,17807,10776,7723,16046,30590,6415,7895,,
01:20.0,00:00.0,100,2,84,54,69,17292,36013,18198,8226,11364,30199,14963,2030,,
01:21.0,00:00.0,100,2,93,40,66,8096,5778,2591,8514,15669,15204,14114,8172,,
01:22.0,00:00.0,100,2,90,57,73,588908,11101,26155,7127,9169,30740,13796,6029,,
01:23.0,00:00.0,100,2,69,66,67,611285,114753,63039,24163,10009,22071,14861,7856,,
01:24.0,00:00.0,100,2,67,80,73,77247,16981,18022,20020,11326,23860,15630,5860,,
01:25.0,00:00.0,100,2,64,74,69,14036,42394,3476,12675,10938,36330,12972,5992,,
01:26.0,00:00.0,100,2,66,63,64,11192,19246,13985,9624,6176,39333,8513,5658,,
01:27.0,00:00.0,100,2,70,54,62,82432,37289,7684,7467,2314,8861,3232,1172,,
01:28.0,00:00.0,100,2,80,43,61,17492,9158,7131,6017,4494,19581,16118,7564,,
01:29.0,00:00.0,100,2,77,54,65,26532,25120,15863,15736,20136,22657,7176,4309,,
01:30.0,00:00.0,100,2,70,60,65,9035,19250,18984,12412,18088,28938,7246,6390,,
01:31.0,00:00.0,100,2,83,47,65,44335,32928,2604,8499,17960,26134,11515,16725,,
01:32.0,00:00.0,100,2,77,51,64,9320,31082,7737,35684,26169,32486,11085,5223,,
01:33.0,00:00.0,100,2,77,54,65,165695,34852,4377,36824,7709,34428,12902,2705,,
01:34.0,00:00.0,100,2,80,47,63,19864,10494,6943,3165,10962,18131,15769,5010,,
01:35.0,00:00.0,100,2,81,51,66,29096,23363,1507,11250,10422,24715,8994,18818,,
01:36.0,00:00.0,100,2,87,50,68,29683,15988,6032,17345,14232,26452,10511,2655,,
01:37.0,00:00.0,100,2,83,27,55,39803,79469,4833,10210,16884,28704,12144,5146,,
01:38.0,00:00.0,100,2,77,40,58,40660,12574,7604,14573,6243,15742,17998,2742,,
01:39.0,00:00.0,100,2,70,56,63,400545,19877,18477,16474,9573,21437,9291,3592,,
01:40.0,00:00.0,100,2,61,57,59,17866,45271,39597,8582,39588,20610,11471,6749,,
01:41.0,00:00.0,100,2,61,69,65,12217,50493,2955,24412,21909,28367,11266,3672,,
01:42.0,00:00.0,100,2,75,61,68,6732,5587,1736,18398,10803,44817,5817,2693,,
01:43.0,00:00.0,100,2,87,51,69,7706,7850,10610,7235,11201,31967,7456,7994,,
01:44.0,00:00.0,100,2,94,56,75,34250,10104,20397,7431,9499,23548,6795,5346,,
01:45.0,00:00.0,100,2,100,57,78,36871,3503,5226,15538,45212,18798,15571,6047,,
01:46.0,00:00.0,100,2,93,53,73,18464,50299,4303,21011,11985,46994,6387,18533,,
01:47.0,00:00.0,100,2,84,64,74,12529,9346,11375,14641,4513,18157,11202,12735,,
01:48.0,00:00.0,100,2,93,44,68,6241,16424,2459,9438,9821,44770,6304,4431,,
01:49.0,00:00.0,100,2,84,41,62,10843,44519,7384,9555,6652,24251,5918,4581,,
01:50.0,00:00.0,100,2,97,43,70,4754,5937,7473,26694,11181,113637,5117,7899,,
01:51.0,00:00.0,100,2,97,43,70,5927,8916,11374,23955,11382,24964,8358,5878,,
01:52.0,00:00.0,100,2,80,57,68,556302,53453,5338,40745,19775,28497,9659,11984,,
01:53.0,00:00.0,100,2,83,75,79,56997,17120,42573,17589,20062,39306,7669,2960,,
01:54.0,00:00.0,100,2,74,66,70,12532,30496,4147,10578,31412,43927,11945,8216,,
01:55.0,00:00.0,100,2,78,51,64,56079,23841,22869,1129,8173,55315,23413,1785,,
01:56.0,00:00.0,100,2,93,40,66,11334,10055,5361,3077,12980,25544,28964,6963,,
01:57.0,00:00.0,100,2,83,34,58,55757,17277,20577,14024,40426,8246,18054,11654,,
01:58.0,00:00.0,100,2,64,56,60,271338,17318,9622,8156,4549,4409,5079,1430,,
01:59.0,00:00.0,100,2,47,57,52,9002,61691,19394,8964,14714,12412,13359,12204,,
02:00.0,00:00.0,100,2,34,54,44,59945,60170,3979,11356,14220,24986,6631,8347,,
02:01.0,00:00.0,100,2,48,47,47,32483,9044,6462,17709,43199,33671,7729,1468,,
02:02.0,00:00.0,100,2,48,50,49,113448,15253,17837,6239,5389,4572,2413,1922,,
02:03.0,00:00.0,100,2,64,54,59,22927,6542,8566,15003,13805,28944,6728,4181,,
02:04.0,00:00.0,100,2,69,69,69,32198,29328,20407,18179,17699,38457,11537,2900,,
02:05.0,00:00.0,100,2,77,60,68,17204,20346,6751,6662,20049,61687,10045,8368,,
02:06.0,00:00.0,100,2,93,50,71,9615,10923,17295,4629,18467,23501,10858,9098,,
02:07.0,00:00.0,100,2,94,38,66,21838,6937,837,6734,9947,17935,11426,2748,,
02:08.0,00:00.0,100,2,94,34,64,65011,46583,10125,20135,15888,41180,18967,6158,,
02:09.0,00:00.0,100,2,83,53,68,47507,5402,1987,15231,11551,13240,7115,7661,,
02:10.0,00:00.0,100,2,87,54,70,56377,10369,22839,10172,31496,37055,6113,10921,,
02:11.0,00:00.0,100,2,81,61,71,16115,10842,2899,7881,5989,14922,8471,8887,,
02:12.0,00:00.0,100,2,91,47,69,13761,30916,5257,6162,5533,70737,15424,9121,,
02:13.0,00:00.0,100,2,97,21,59,20967,18297,5062,1325,13786,28665,7042,5098,,
02:14.0,00:00.0,100,2,100,23,61,10397,7169,16163,7526,5194,34236,12453,3197,,
02:15.0,00:00.0,100,2,100,20,60,13673,11021,7297,4308,15666,15682,13809,2949,,
02:16.0,00:00.0,100,2,84,34,59,57339,41170,9011,10335,10290,21135,16634,4549,,
02:17.0,00:00.0,100,2,74,61,67,4342,18943,38841,3751,14093,21661,6989,6805,,
02:18.0,00:00.0,100,2,57,63,60,74979,16405,5502,9138,4737,6481,3237,1498,,
02:19.0,00:00.0,100,2,57,61,59,5940,18578,6189,6085,6559,22727,9537,6522,,
02:20.0,00:00.0,100,2,48,77,62,277290,17118,13400,3558,2740,4490,1271,807,,
02:21.0,00:00.0,100,2,48,53,50,108884,23028,3676,1916,4411,8080,5653,1015,,
02:22.0,00:00.0,100,2,63,50,56,51538,7760,8305,14128,13678,29113,12708,6837,,
02:23.0,00:00.0,100,2,57,47,52,159154,38068,7292,7144,6774,22949,4611,3109,,
02:24.0,00:00.0,100,2,51,41,46,177730,73882,29472,13773,6413,6956,4499,972,,
02:25.0,00:00.0,100,2,50,61,55,58754,71181,15297,51669,7311,33121,13454,11230,,
02:26.0,00:00.0,100,2,47,54,50,27705,18466,842,9973,5461,19167,6278,7682,,
02:27.0,00:00.0,100,2,29,47,38,277030,58776,6200,2765,4777,5863,3193,2263,,
02:28.0,00:00.0,100,2,35,41,38,168198,8021,2704,867,1425,1136,1195,142,,
02:29.0,00:00.0,100,2,47,13,30,34448,27165,1374,4003,3339,27600,17005,3692,,
02:30.0,00:00.0,100,2,40,11,25,399032,85538,11382,17456,4665,33546,17195,7986,,
02:31.0,00:00.0,100,2,54,34,44,56979,37876,25622,21276,7958,32832,5522,7571,,
02:32.0,00:00.0,100,2,66,23,44,102508,166106,23347,17191,4508,73059,10926,12102,,
02:33.0,00:00.0,100,2,57,30,43,56168,52498,9886,5022,24437,23272,19429,6150,,
02:34.0,00:00.0,100,2,74,26,50,10461,9417,6125,5202,20090,36524,18694,12647,,
02:35.0,00:00.0,100,2,77,4,40,35075,42880,6364,5322,17143,33781,19792,5910,,
02:36.0,00:00.0,100,2,74,7,40,85589,47471,12052,1216,4752,12923,2562,517,,
02:37.0,00:00.0,100,2,80,14,47,12730,32132,3709,14002,8737,31638,8618,3394,,
02:38.0,00:00.0,100,2,56,20,38,76574,49722,6353,8445,6131,9335,2192,2032,,
02:39.0,00:00.0,100,2,51,26,38,899686,134911,21451,30426,29175,65871,7062,4917,,
02:40.0,00:00.0,100,2,64,17,40,34642,48455,3890,8162,9584,50367,10985,4120,,
02:41.0,00:00.0,100,2,67,34,50,13985,3724,3965,27169,4702,33112,6790,5764,,
02:42.0,00:00.0,100,2,87,35,61,13778,19484,7701,8245,10933,32879,3983,9333,,
02:43.0,00:00.0,100,2,75,51,63,57126,22072,13828,6735,4753,4621,5237,1671,,
02:44.0,00:00.0,100,2,74,74,74,32266,16204,24025,5868,12503,32214,11212,6718,,
02:45.0,00:00.0,100,2,66,77,71,12154,12255,53082,9930,9912,40799,6643,4433,,
02:46.0,00:00.0,100,2,56,75,65,67133,23524,2561,6159,3174,11849,981,802,,
02:47.0,00:00.0,100,2,67,80,73,11737,17498,18915,24560,10198,21598,20814,2562,,
02:48.0,00:00.0,100,2,75,70,72,9520,19023,14328,10757,11584,66966,6233,11785,,
02:49.0,00:00.0,100,2,78,60,69,27549,15834,11147,10540,5333,27345,14775,3162,,
02:50.0,00:00.0,100,2,78,50,64,6954,45131,6823,924,7226,16306,9344,9257,,
02:51.0,00:00.0,100,2,87,38,62,8977,16220,20846,6329,11956,39344,15639,3451,,
02:52.0,00:00.0,100,2,87,41,64,3201,2817,10169,12774,23615,39256,12240,8407,,
02:53.0,00:00.0,100,2,77,34,55,18683,73633,19150,12651,16080,27768,13594,8959,,
02:54.0,00:00.0,100,2,74,53,63,18074,45458,14379,23335,27453,17160,15645,6976,,
02:55.0,00:00.0,100,2,69,53,61,15132,48007,41399,9753,16977,64004,11881,2977,,
02:56.0,00:00.0,100,2,56,54,55,6258,39627,21620,6334,5632,22675,11158,7189,,
02:57.0,00:00.0,100,2,56,47,51,19232,73080,6744,11253,11902,29884,16125,7572,,
02:58.0,00:00.0,100,2,67,41,54,6026,10160,8016,8832,26396,19419,11638,19281,,
02:59.0,00:00.0,100,2,69,27,48,17305,25131,2904,4865,10880,25013,22028,5131,,
03:00.0,00:00.0,100,2,78,8,43,4016,37737,4477,3558,9377,41675,15287,5339,,
03:01.0,00:00.0,100,2,81,16,48,97092,70385,4561,31452,8215,49141,44760,5695,,
03:02.0,00:00.0,100,2,87,10,48,23413,27966,14207,7765,6806,72215,8305,8588,,
03:03.0,00:00.0,100,2,90,13,51,13178,11781,5684,4005,16998,26515,8586,8608,,
03:04.0,00:00.0,100,2,93,26,59,14677,8147,7642,1689,6168,26391,10278,4123,,
03:05.0,00:00.0,100,2,87,29,58,2922,40948,6601,14870,3243,13374,45031,6392,,
03:06.0,00:00.0,100,2,78,30,54,6536,22188,6538,6754,16357,22230,19716,8514,,
03:07.0,00:00.0,100,2,77,23,50,22979,17852,1495,3703,12023,20519,11708,6333,,
03:08.0,00:00.0,100,2,66,37,51,8022,18389,37769,7888,22854,30420,11513,5064,,
