Time','VidTime','Signal Level','Blink','Attention','Meditation','Zone','Delta','Theta','Low Alpha','High Alpha','Low Beta','High Beta','Low Gamma','Mid Gamma',,,,,
59:19.0,00:00.0,100,2,70,63,66,114923,11465,918,4172,4653,4870,436,741,,,,,
59:20.0,00:00.0,100,2,75,67,71,85674,8049,11900,3482,2480,10453,1256,250,,,,,
59:21.0,00:00.0,100,2,75,67,71,166089,36720,22442,30070,5400,11388,3648,1982,,,,,
59:22.0,00:00.0,100,2,74,64,69,4668,33536,12311,16473,16629,16243,6099,1353,,,,,
59:23.0,00:00.0,100,2,69,83,76,244877,32085,126850,1975,13747,28666,2787,1919,,,,,
59:24.0,00:00.0,100,2,61,75,68,52445,53674,18158,5124,11510,14740,5005,1486,,,,,
59:25.0,00:00.0,100,2,61,70,65,21123,35302,19579,23054,16272,11877,6101,1682,,,,,
59:26.0,00:00.0,100,2,57,77,67,14894,34156,13061,30868,6484,12848,2929,2212,,,,,
59:27.0,00:00.0,100,2,63,67,65,22275,15037,9896,24245,23044,16159,6200,2280,,,,,
59:28.0,00:00.0,100,2,60,60,60,268576,111725,13635,11133,61140,17133,12970,4381,,,,,
59:29.0,00:00.0,100,2,47,48,47,865946,109622,8460,9910,6055,5892,3310,3499,,,,,
59:30.0,00:00.0,100,2,34,40,37,402359,87203,26939,6490,8002,5869,2929,3118,,,,,
59:31.0,00:00.0,100,2,24,40,32,1124725,140791,105000,20725,19496,40331,20728,5837,,,,,
59:32.0,00:00.0,100,2,34,44,39,57951,61667,2546,17835,7530,23290,24809,6018,,,,,
59:33.0,00:00.0,100,2,57,56,56,17653,20398,18794,15426,19060,26009,23180,8566,,,,,
59:34.0,00:00.0,100,2,75,54,64,664626,60292,24623,4066,25628,19482,7451,6761,,,,,
59:35.0,00:00.0,100,2,80,53,66,88738,47984,29701,13118,14071,22419,13515,4416,,,,,
59:36.0,00:00.0,100,2,90,53,71,87364,5993,2676,1875,5473,8065,1858,461,,,,,
59:37.0,00:00.0,100,2,69,48,58,12857,77702,26760,4255,21569,7153,13092,3474,,,,,
59:38.0,00:00.0,100,2,66,54,60,97790,14687,10096,1524,3351,4196,1598,1068,,,,,
59:39.0,00:00.0,100,2,53,50,51,63716,87527,12657,24532,21438,8307,4598,4703,,,,,
59:40.0,00:00.0,100,2,44,51,47,248098,78778,15449,24840,19216,41796,6512,5137,,,,,
59:41.0,00:00.0,100,2,63,50,56,645154,89922,35119,3404,10813,45513,12881,10044,,,,,
59:42.0,00:00.0,100,2,61,37,49,250763,244781,13331,23150,21240,37394,14073,10459,,,,,
59:43.0,00:00.0,100,2,61,43,52,788100,44445,24768,19057,4604,6198,3743,4007,,,,,
59:44.0,00:00.0,100,2,51,41,46,88821,27566,5426,2242,2142,4147,3628,2499,,,,,
59:45.0,00:00.0,100,2,48,30,39,509545,91880,881,9409,3599,25122,16118,19972,,,,,
59:46.0,00:00.0,100,2,56,48,52,104981,16841,6035,35668,14790,22439,19368,6088,,,,,
59:47.0,00:00.0,100,2,63,35,49,1055517,123772,17993,10638,21387,21443,9985,11457,,,,,
59:48.0,00:00.0,100,2,74,43,58,46111,20009,9831,27741,29508,16625,18220,2804,,,,,
59:49.0,00:00.0,100,2,69,61,65,29586,36347,20764,25238,15863,15392,7372,2238,,,,,
59:50.0,00:00.0,100,2,75,44,59,412801,71351,9504,16801,55371,54641,3744,4925,,,,,
59:51.0,00:00.0,100,2,96,47,71,126554,15744,13125,15968,12409,127929,5536,8019,,,,,
59:52.0,00:00.0,100,2,88,41,64,44653,42844,14858,9975,13541,17398,18064,4890,,,,,
59:53.0,00:00.0,100,2,91,43,67,8748,9378,12107,12680,8838,15467,7657,2992,,,,,
59:54.0,00:00.0,100,2,77,53,65,65864,19890,13286,1210,4084,9305,3038,1502,,,,,
59:55.0,00:00.0,100,2,69,51,60,30625,10253,4093,3867,17606,22665,10405,7431,,,,,
59:56.0,00:00.0,100,2,63,53,58,57151,71745,20050,20641,8628,10974,9717,3911,,,,,
59:57.0,00:00.0,100,1,41,34,37,982080,480198,22889,15102,20587,17151,12551,3178,,,,,
59:58.0,00:00.0,100,1,29,30,29,91036,117502,30694,16942,19326,11593,9887,6565,,,,,
59:59.0,00:00.0,100,1,14,35,24,24483,63591,12081,16490,23269,19525,7579,5292,,,,,
00:00.0,00:00.0,100,1,20,23,21,13313,85448,1297,11104,16153,16457,5851,3007,,,,,
00:01.0,00:00.0,100,1,30,41,35,67425,93848,38531,36486,14452,21642,6665,4449,,,,,
00:02.0,00:00.0,100,1,41,44,42,49659,34514,13579,20873,26711,17680,10038,3962,,,,,
00:03.0,00:00.0,100,1,48,54,51,20368,8526,41935,9147,27706,26729,7099,1496,,,,,
00:04.0,00:00.0,100,1,50,57,53,1207910,68909,12506,9840,36034,24422,12135,2450,,,,,
00:05.0,00:00.0,100,1,50,57,53,58347,32030,16689,8614,7640,7091,11242,2752,,,,,
00:06.0,00:00.0,100,1,44,54,49,2099492,127055,9846,40345,24714,21917,12997,7714,,,,,
00:07.0,00:00.0,100,1,38,56,47,169946,68561,30351,80734,3715,32964,16987,2467,,,,,
00:08.0,00:00.0,100,1,37,64,50,62667,38507,21588,6110,17354,13897,7337,2315,,,,,
00:09.0,00:00.0,100,1,38,67,52,139786,65231,62253,21522,14910,23016,5733,912,,,,,
00:10.0,00:00.0,100,1,35,74,54,3811,123834,48861,17332,6209,16177,14650,5543,,,,,
00:11.0,00:00.0,100,1,30,63,46,441138,55637,12344,17067,7809,12940,12192,3967,,,,,
00:12.0,00:00.0,100,1,17,74,45,86703,53203,42548,38907,16353,5223,8989,3448,,,,,
00:13.0,00:00.0,100,1,20,64,42,86072,23584,4148,20286,28338,8974,9859,5537,,,,,
00:14.0,00:00.0,100,1,29,61,45,40826,73893,25360,16795,22129,30824,8814,2723,,,,,
00:15.0,00:00.0,100,1,35,54,44,32061,67175,16595,8005,33270,24634,7847,3953,,,,,
00:16.0,00:00.0,100,1,47,43,45,13329,72911,13236,13943,12055,14791,5972,1972,,,,,
00:17.0,00:00.0,100,1,41,54,47,21389,31631,67597,19166,15759,13570,11892,4758,,,,,
00:18.0,00:00.0,100,1,37,63,50,19761,57092,62215,4545,15521,20080,10177,6447,,,,,
00:19.0,00:00.0,100,1,26,74,50,79167,87255,34940,28299,6999,11467,4106,5925,,,,,
00:20.0,00:00.0,100,1,34,80,57,48035,22330,14644,10573,9437,16328,3501,3812,,,,,
00:21.0,00:00.0,100,1,41,70,55,35137,39951,7567,48682,28403,26653,9344,2106,,,,,
00:22.0,00:00.0,100,1,44,75,59,3104,44034,56260,30427,17077,27345,9184,3280,,,,,
00:23.0,00:00.0,100,1,53,78,65,26992,17142,29712,6786,7888,11900,7395,1925,,,,,
00:24.0,00:00.0,100,1,47,80,63,345314,101494,51520,52916,28891,31127,4655,2087,,,,,
00:25.0,00:00.0,100,1,40,81,60,100899,35180,25569,18347,12971,9811,6540,3890,,,,,
00:26.0,00:00.0,100,1,35,74,54,79152,41569,14346,12108,5998,10126,3974,3591,,,,,
00:27.0,00:00.0,100,1,34,64,49,361807,75277,16046,17166,5657,19438,8740,3988,,,,,
00:28.0,00:00.0,100,1,29,63,46,399330,82800,41575,19063,6522,14951,6770,4660,,,,,
00:29.0,00:00.0,100,1,27,69,48,51900,8514,7705,12310,1557,2498,1901,487,,,,,
00:30.0,00:00.0,100,1,34,67,50,37442,33156,1649,20521,24937,13974,7813,5237,,,,,
00:31.0,00:00.0,100,1,29,67,48,469941,94105,27146,26651,17442,19723,9384,3652,,,,,
00:32.0,00:00.0,100,1,29,75,52,65034,27535,21783,37132,16269,8391,12478,4990,,,,,
00:33.0,00:00.0,100,1,23,51,37,227073,79471,9936,1238,5699,3967,2062,704,,,,,
00:34.0,00:00.0,100,1,14,54,34,111480,104716,38788,22397,19375,13590,13003,2233,,,,,
00:35.0,00:00.0,100,1,20,53,36,18492,47536,8788,18142,32560,15885,15328,3014,,,,,
00:36.0,00:00.0,100,1,30,38,34,11520,51704,12343,11045,10338,32223,18260,5871,,,,,
00:37.0,00:00.0,100,1,41,57,49,3353,59113,3835,126232,29702,27648,4299,7151,,,,,
00:38.0,00:00.0,100,1,54,63,58,14576,12787,13423,14670,7432,17271,3653,4725,,,,,
00:39.0,00:00.0,100,1,61,70,65,44198,13596,24944,2955,11059,17908,4101,2478,,,,,
00:40.0,00:00.0,100,1,60,74,67,1727,20966,3735,19766,31398,15467,3102,5136,,,,,
00:41.0,00:00.0,100,1,64,70,67,101220,8347,13648,10702,8147,8422,847,557,,,,,
00:42.0,00:00.0,100,1,61,54,57,12171,77312,5494,9026,33984,26812,4280,6129,,,,,
00:43.0,00:00.0,100,1,53,56,54,29768,44742,43713,21236,19280,18144,10515,4546,,,,,
00:44.0,00:00.0,100,1,44,61,52,33081,48205,30069,13080,5837,11817,11722,6350,,,,,
00:45.0,00:00.0,100,1,50,53,51,5783,15735,1345,22657,23680,19061,11078,13227,,,,,
00:46.0,00:00.0,100,1,41,54,47,120326,57527,4823,7225,20363,7907,11659,8014,,,,,
00:47.0,00:00.0,100,1,44,53,48,134861,9971,7691,2750,1617,5557,4696,1070,,,,,
00:48.0,00:00.0,100,1,54,48,51,61368,30137,13462,9318,21086,18654,23056,6653,,,,,
00:49.0,00:00.0,100,1,48,43,45,745249,69833,24905,9300,44188,24547,12999,3139,,,,,
00:50.0,00:00.0,100,1,47,37,42,1468236,445175,13527,20457,47872,45334,25471,16511,,,,,
00:51.0,00:00.0,100,1,43,34,38,912324,33996,11984,9045,7392,8228,6190,4578,,,,,
00:52.0,00:00.0,100,1,37,34,35,440225,145318,22242,39156,26448,31457,23115,4156,,,,,
00:53.0,00:00.0,100,1,38,37,37,41220,52340,3743,33832,21849,26732,12457,11401,,,,,
00:54.0,00:00.0,100,1,50,57,53,36576,30311,26045,21182,16209,26872,13968,5486,,,,,
00:55.0,00:00.0,100,1,50,56,53,16898,40783,15548,9339,14060,14003,22165,3247,,,,,
00:56.0,00:00.0,100,1,53,67,60,17756,12614,34629,3790,8046,11565,12922,4694,,,,,
00:57.0,00:00.0,100,1,47,69,58,15917,59216,24439,18978,22314,14923,11377,2802,,,,,
00:58.0,00:00.0,100,1,48,69,58,9678,34791,21722,29322,12198,31869,13044,6043,,,,,
00:59.0,00:00.0,100,1,50,77,63,6016,16196,11630,27072,25088,12981,3631,4499,,,,,
01:00.0,00:00.0,100,1,50,61,55,108306,80231,18605,11129,18934,25167,10929,2890,,,,,
01:01.0,00:00.0,100,1,50,50,50,1381641,854205,14258,107075,60124,133538,105339,14151,,,,,
01:02.0,00:00.0,100,1,37,24,30,667738,109531,2960,3563,21118,10107,6926,11765,,,,,
01:03.0,00:00.0,100,1,34,23,28,32081,40101,36524,12567,25464,12121,2116,3843,,,,,
01:04.0,00:00.0,100,1,24,27,25,73853,48692,15956,16097,16121,6690,4154,834,,,,,
01:05.0,00:00.0,100,1,29,43,36,35103,52813,28417,24049,12066,26472,8476,2391,,,,,
01:06.0,00:00.0,100,1,41,60,50,512500,84685,23256,24363,50913,38706,16292,3120,,,,,
01:07.0,00:00.0,100,1,40,57,48,51937,30426,10274,10870,4988,6049,4347,1475,,,,,
01:08.0,00:00.0,100,1,50,48,49,58788,46920,2717,9492,9258,19891,7130,3201,,,,,
01:09.0,00:00.0,100,1,51,48,49,8518,21035,7503,16645,14558,13154,5585,1310,,,,,
01:10.0,00:00.0,100,1,50,53,51,22798,38531,26594,10461,16494,19979,9429,1945,,,,,
01:11.0,00:00.0,100,1,47,48,47,5952,51595,5851,15148,10984,5555,6441,661,,,,,
01:12.0,00:00.0,100,1,37,56,46,304003,149571,52521,14489,18678,23875,8744,1001,,,,,
01:13.0,00:00.0,100,1,53,50,51,14478,9023,9304,3367,9740,35829,5834,2526,,,,,
01:14.0,00:00.0,100,1,57,50,53,17541,22115,11798,14259,9042,21059,4930,2329,,,,,
01:15.0,00:00.0,100,1,70,47,58,8067,51894,10613,8764,25648,26371,9349,1414,,,,,
01:16.0,00:00.0,100,1,74,44,59,208626,105169,14645,35916,6793,20721,4802,2308,,,,,
01:17.0,00:00.0,100,1,50,50,50,169256,80109,27733,13831,18531,11490,3997,2572,,,,,
01:18.0,00:00.0,100,1,43,48,45,40177,65307,28968,9764,4789,21806,10972,2149,,,,,
01:19.0,00:00.0,100,1,44,61,52,30614,10064,20860,8814,6146,17748,4635,1534,,,,,
01:20.0,00:00.0,100,1,60,63,61,16120,7098,4620,9176,9085,14843,6411,2069,,,,,
01:21.0,00:00.0,100,1,64,74,69,50756,14800,11458,23924,9301,8212,2807,1282,,,,,
01:22.0,00:00.0,100,1,63,70,66,14703,38007,9037,18636,13914,13767,5779,1062,,,,,
01:23.0,00:00.0,100,1,51,70,60,19443,44021,23153,25326,3787,10526,9265,2140,,,,,
01:24.0,00:00.0,100,1,50,75,62,52039,3173,5251,3236,3702,6720,3189,340,,,,,
01:25.0,00:00.0,100,1,44,57,50,35187,24578,4513,834,1919,2670,1584,541,,,,,
01:26.0,00:00.0,100,1,50,64,57,37999,42157,18239,42913,3841,33797,3244,2324,,,,,
01:27.0,00:00.0,100,1,51,60,55,17393,49961,20175,10316,11451,10486,6956,3141,,,,,
01:28.0,00:00.0,100,1,44,60,52,28066,24158,29802,23262,19659,23943,9950,1159,,,,,
01:29.0,00:00.0,100,1,50,60,55,76829,66719,11542,4603,11505,12633,3905,931,,,,,
01:30.0,00:00.0,100,1,44,63,53,45067,11471,18532,16479,10497,10741,7246,1393,,,,,
01:31.0,00:00.0,100,1,54,63,58,19377,29229,17400,16988,32217,25988,3718,1353,,,,,
01:32.0,00:00.0,100,1,48,67,57,15217,29191,34240,19179,5347,12895,4476,1621,,,,,
01:33.0,00:00.0,100,1,41,69,55,221724,200371,25461,26300,9415,18567,5137,2348,,,,,
01:34.0,00:00.0,100,1,48,61,54,253246,13025,12284,3067,8536,14036,3354,4152,,,,,
01:35.0,00:00.0,100,1,44,60,52,30324,49389,19423,8230,14378,17284,9207,2506,,,,,
01:36.0,00:00.0,100,1,48,54,51,269324,11786,6821,8052,6000,5870,4050,1518,,,,,
01:37.0,00:00.0,100,1,44,60,52,96197,131512,31856,36429,35613,11346,5124,2280,,,,,
01:38.0,00:00.0,100,1,30,60,45,113992,99384,29625,31240,23824,16176,12631,4604,,,,,
01:39.0,00:00.0,100,1,27,63,45,121216,13528,6636,5138,6533,3637,2268,1673,,,,,
01:40.0,00:00.0,100,1,23,63,43,42598,71563,23784,35779,8167,15879,4505,3240,,,,,
01:41.0,00:00.0,100,1,27,61,44,70099,120574,47005,10673,10594,18930,6524,3506,,,,,
01:42.0,00:00.0,100,1,29,75,52,336087,26500,50466,28550,5084,13260,5434,2485,,,,,
01:43.0,00:00.0,100,1,34,69,51,5602,54367,9691,13161,6143,15973,8165,3236,,,,,
01:44.0,00:00.0,100,1,29,64,46,125677,142769,41686,38724,18991,15245,6190,3616,,,,,
01:45.0,00:00.0,100,1,23,67,45,26766,104409,57099,7946,12938,8933,1993,2536,,,,,
01:46.0,00:00.0,100,1,23,48,35,15580,79675,10170,13208,10276,12319,7282,1821,,,,,
01:47.0,00:00.0,100,1,17,66,41,40279,7974,91417,12105,30107,14163,4920,2421,,,,,
01:48.0,00:00.0,100,1,23,67,45,387166,59898,48354,8812,24591,13938,5871,1726,,,,,
01:49.0,00:00.0,100,1,29,64,46,164322,48228,19131,9257,17577,9159,7082,2177,,,,,
01:50.0,00:00.0,100,1,29,75,52,101708,12219,10327,3928,3350,3786,1171,294,,,,,
01:51.0,00:00.0,100,1,27,50,38,29946,184857,14204,15914,26757,19171,6629,2562,,,,,
01:52.0,00:00.0,100,1,35,40,37,44414,63586,17812,7542,30412,21093,7929,4381,,,,,
01:53.0,00:00.0,100,1,44,48,46,14630,21547,59355,6157,33540,27699,3753,1326,,,,,
01:54.0,00:00.0,100,1,43,35,39,182355,86341,6711,12295,15604,12298,5187,2241,,,,,
01:55.0,00:00.0,100,1,51,40,45,118530,49528,10551,5266,9585,13660,13970,3668,,,,,
01:56.0,00:00.0,100,1,48,43,45,18303,77515,6043,25310,17980,15782,8683,4381,,,,,
01:57.0,00:00.0,100,1,41,34,37,7266,125230,31917,6361,20513,25273,11232,2171,,,,,
01:58.0,00:00.0,100,1,34,38,36,105553,137506,24075,23254,3733,9525,2765,3790,,,,,
01:59.0,00:00.0,100,1,41,34,37,739138,183012,36158,12304,25920,113491,52933,17215,,,,,
02:00.0,00:00.0,100,1,41,40,40,14923,18084,17395,6515,14764,6475,3179,2833,,,,,
02:01.0,00:00.0,100,1,35,40,37,357684,312979,84152,13390,24461,32948,6053,5101,,,,,
02:02.0,00:00.0,100,1,44,43,43,86074,80727,30615,20716,17841,23156,5757,4950,,,,,
02:03.0,00:00.0,100,1,47,53,50,88351,30398,22977,10423,19009,33190,6118,5997,,,,,
02:04.0,00:00.0,100,1,50,48,49,181237,79264,8109,32223,20372,22959,10547,2211,,,,,
02:05.0,00:00.0,100,1,56,57,56,148749,28943,26821,8078,7581,12055,7102,2426,,,,,
02:06.0,00:00.0,100,1,61,56,58,37164,22835,19167,8870,35087,14672,5868,2275,,,,,
02:07.0,00:00.0,100,1,40,60,50,54805,24183,10229,9042,5941,2081,1475,808,,,,,
02:08.0,00:00.0,100,1,34,66,50,18596,41847,8298,35183,15110,7372,9162,1863,,,,,
02:09.0,00:00.0,100,1,29,56,42,16440,74764,12452,15379,16131,11774,8503,1171,,,,,
02:10.0,00:00.0,100,1,27,64,45,44675,20743,28808,19403,14981,17049,5719,5833,,,,,
02:11.0,00:00.0,100,1,44,61,52,70210,23039,5214,12234,11770,13630,3772,3358,,,,,
02:12.0,00:00.0,100,1,54,51,52,12816,21243,3965,5303,12622,8700,8533,801,,,,,
02:13.0,00:00.0,100,1,60,56,58,30275,49168,18919,18360,17620,15190,8155,1085,,,,,
02:14.0,00:00.0,100,1,63,56,59,6975,8561,15518,21017,4972,20196,1684,2926,,,,,
02:15.0,00:00.0,100,1,67,64,65,55482,6176,20186,17603,14269,25545,2764,1668,,,,,
02:16.0,00:00.0,100,1,60,81,70,18182,23134,13995,44047,8207,8241,2771,1381,,,,,
02:17.0,00:00.0,100,1,63,84,73,49066,26919,4597,33816,22562,16537,8929,3253,,,,,
02:18.0,00:00.0,100,1,60,80,70,23835,24171,21291,5857,10717,12850,17754,3121,,,,,
02:19.0,00:00.0,100,1,48,83,65,7033,19718,37806,14228,11490,12909,5134,2762,,,,,
02:20.0,00:00.0,100,1,53,74,63,93017,37974,20836,5957,4899,12718,5140,1442,,,,,
02:21.0,00:00.0,100,1,47,78,62,57781,20603,20041,22138,20929,7866,5573,4493,,,,,
02:22.0,00:00.0,100,1,47,66,56,80370,29812,4507,4129,9785,10723,1662,1602,,,,,
02:23.0,00:00.0,100,1,60,53,56,17121,15985,9395,4707,9324,21502,23421,5064,,,,,
02:24.0,00:00.0,100,1,66,50,58,7720,19827,5240,12912,13984,17503,3948,10599,,,,,
02:25.0,00:00.0,100,1,74,50,62,4180,19802,35383,18050,18938,20057,8003,4458,,,,,
02:26.0,00:00.0,100,1,69,61,65,10976,54042,20706,40472,32477,21165,3970,1679,,,,,
02:27.0,00:00.0,100,1,51,66,58,26745,67178,8270,37585,21692,9397,6363,1522,,,,,
02:28.0,00:00.0,100,1,44,74,59,56827,23485,21864,23532,23038,13464,2700,1841,,,,,
02:29.0,00:00.0,100,1,44,63,53,14890,60189,11687,15038,13239,24485,6641,2216,,,,,
02:30.0,00:00.0,100,1,48,64,56,49703,23686,45398,5579,22264,22770,3989,4912,,,,,
02:31.0,00:00.0,100,1,60,56,58,28588,70027,16889,7808,18691,30460,4157,3943,,,,,
02:32.0,00:00.0,100,1,47,43,45,21607,184623,15540,19181,10642,8889,6853,1292,,,,,
02:33.0,00:00.0,100,1,43,51,47,96600,27184,20867,15294,5372,12896,4111,1987,,,,,
02:34.0,00:00.0,100,1,40,61,50,58908,13136,25230,41256,9298,16040,14026,1312,,,,,
02:35.0,00:00.0,100,1,38,66,52,28976,98297,48742,12387,16613,42008,10501,1518,,,,,
02:36.0,00:00.0,100,1,54,63,58,30710,59133,5690,7621,26560,17881,9452,3300,,,,,
02:37.0,00:00.0,100,1,56,69,62,58529,20976,53314,8938,6934,20449,5136,2350,,,,,
02:38.0,00:00.0,100,1,56,56,56,12330,37966,8259,20767,7663,15951,9671,2699,,,,,
02:39.0,00:00.0,100,1,60,57,58,7505,11339,3072,14097,15511,11337,7112,3542,,,,,
02:40.0,00:00.0,100,1,60,70,65,12028,21578,20864,7796,19288,11632,4604,1533,,,,,
02:41.0,00:00.0,100,1,56,69,62,8093,28221,43747,24852,16157,13382,6092,2849,,,,,
02:42.0,00:00.0,100,1,48,67,57,81050,18366,5305,3837,3238,2412,1019,263,,,,,
02:43.0,00:00.0,100,1,38,75,56,19859,31067,23631,32399,20512,13127,7931,2147,,,,,
02:44.0,00:00.0,100,1,34,80,57,6676,10767,30606,20845,30924,8532,2294,2936,,,,,
02:45.0,00:00.0,100,1,34,70,52,219515,25389,9502,9829,6731,6304,5697,2310,,,,,
02:46.0,00:00.0,100,1,37,74,55,79588,98940,47387,10223,14787,17397,8636,6838,,,,,
02:47.0,00:00.0,100,1,30,64,47,76052,21840,1074,9391,4559,3210,2007,2057,,,,,
02:48.0,00:00.0,100,1,24,64,44,1247722,99140,100306,33179,21679,13755,32400,10221,,,,,
02:49.0,00:00.0,100,1,27,57,42,103796,20096,5017,1849,2016,6437,2518,1387,,,,,
02:50.0,00:00.0,100,1,26,63,44,467136,142234,110977,42851,35484,28955,35561,15339,,,,,
